target_quarter,n_cal,Q,alpha_used
2014Q1,0,0.0,0.2
2014Q2,85,0.0,0.2
2014Q3,171,0.011742902152689274,0.2
2014Q4,256,0.009562035255408788,0.20070588235294118
2015Q1,338,0.013108598124363158,0.1988522238163558
2015Q2,420,0.018201182192801577,0.19651076040172166
2015Q3,504,0.018161120837239544,0.19693933183029308
2015Q4,588,0.018876299959906653,0.1961774270683883
2016Q1,669,0.017337741685871835,0.19770829126591918
2016Q2,748,0.017337741685871835,0.19765765835452678
2016Q3,831,0.016819590925769456,0.19828416437862317
2016Q4,912,0.017337741685871835,0.19783971993417873
2017Q1,994,0.015601071112799986,0.19915679310491044
2017Q2,1075,0.01671339804816401,0.19846543508021908
2017Q3,1161,0.014617332553813533,0.20037241182440513
2017Q4,1246,0.015178894400459164,0.1994312353538169
2018Q1,1330,0.014668984566276147,0.19985980678238832
2018Q2,1417,0.014635774808817632,0.2001816458628481
2018Q3,1511,0.014635774808817632,0.20013909267135874
2018Q4,1607,0.013833564802075315,0.20101409267135872
2019Q1,1701,0.015178894400459164,0.19948217777774171
2019Q2,1798,0.015798848118779046,0.19915228087052522
2019Q3,1898,0.013799513333010424,0.20115228087052522
2019Q4,1996,0.013611746153840268,0.2014788114827701
2020Q1,2093,0.014401875846214995,0.2005303578745227
2020Q2,2192,0.017044672552590172,0.19705561039977523
2020Q3,2291,0.021979623060468717,0.19034853969270452
2020Q4,2389,0.020970272003396143,0.19189956010086778
2021Q1,2483,0.02053736242978465,0.19313360265405927
2021Q2,2578,0.02056542721292548,0.1929230763382698
2021Q3,2677,0.024509198834697307,0.1874281268433203
2021Q4,2774,0.024509198834697307,0.18751060107012443
2022Q1,2871,0.023668146614037933,0.1888301886989904
2022Q2,2965,0.023373760156063628,0.18942593337984145
2022Q3,3064,0.023057859145027823,0.18999158994549803
2022Q4,3162,0.022265988307191037,0.19113444708835517
2023Q1,3259,0.02121871727733632,0.19224784915021084
2023Q2,3351,0.022265988307191037,0.19124784915021084
2023Q3,3450,0.022871048679490184,0.1906013845037462
2023Q4,3549,0.020981225017948784,0.19318724308960478
2024Q1,3645,0.02074715483154102,0.19364557642293811
2024Q2,3738,0.020821560546246932,0.19355955491756177
2024Q3,3837,0.019782399015847912,0.19533733269533954
2024Q4,3936,0.018877364111063173,0.1971151104731173
2025Q1,4034,0.01865202051851559,0.19784980435066832
2025Q2,4132,0.018181483462739095,0.19858449822821933
2025Q3,4231,0.017337741685871835,0.1995541951979163
2025Q4,4330,0.01671339804816401,0.20092793257165367
2026Q1,4429,0.016288285760149936,0.20169560933933045
