target_quarter,n_cal,Q,alpha_used
2014Q1,0,0.0,0.2
2014Q2,85,0.0,0.2
2014Q3,171,0.011742902152689274,0.2
2014Q4,256,0.009562035255408788,0.2
2015Q1,338,0.013108598124363158,0.2
2015Q2,420,0.018161120837239544,0.2
2015Q3,504,0.017407562758508854,0.2
2015Q4,588,0.018201182192801577,0.2
2016Q1,669,0.016819590925769456,0.2
2016Q2,748,0.017044672552590172,0.2
2016Q3,831,0.016020334858654194,0.2
2016Q4,912,0.016819590925769456,0.2
2017Q1,994,0.015178894400459164,0.2
2017Q2,1075,0.0158452996652884,0.2
2017Q3,1161,0.014617332553813533,0.2
2017Q4,1246,0.014789186380835623,0.2
2018Q1,1330,0.014668984566276147,0.2
2018Q2,1417,0.014635774808817632,0.2
2018Q3,1511,0.014635774808817632,0.2
2018Q4,1607,0.014109566690394426,0.2
2019Q1,1701,0.014789186380835623,0.2
2019Q2,1798,0.015601071112799986,0.2
2019Q3,1898,0.013979851797924409,0.2
2019Q4,1996,0.013799513333010424,0.2
2020Q1,2093,0.014474226023549197,0.2
2020Q2,2192,0.016668270041727676,0.2
2020Q3,2291,0.019717089474002268,0.2
2020Q4,2389,0.018893037696611072,0.2
2021Q1,2483,0.018811074680966638,0.2
2021Q2,2578,0.01881231984172324,0.2
2021Q3,2677,0.021003692735559742,0.2
2021Q4,2774,0.020981225017948784,0.2
2022Q1,2871,0.02069716082271675,0.2
2022Q2,2965,0.02055071235383265,0.2
2022Q3,3064,0.02036056132012575,0.2
2022Q4,3162,0.019865241368703504,0.2
2023Q1,3259,0.019435197410412178,0.2
2023Q2,3351,0.019762424790154262,0.2
2023Q3,3450,0.020194759883883293,0.2
2023Q4,3549,0.019430594792502337,0.2
2024Q1,3645,0.018995599289636456,0.2
2024Q2,3738,0.019131226738129475,0.2
2024Q3,3837,0.018811074680966638,0.2
2024Q4,3936,0.018201182192801577,0.2
2025Q1,4034,0.01782760300503932,0.2
2025Q2,4132,0.017525538417752312,0.2
2025Q3,4231,0.0172163462850621,0.2
2025Q4,4330,0.01698089327911856,0.2
2026Q1,4429,0.01671339804816401,0.2
