target_quarter,n_cal,Q,alpha_used
2014Q1,0,0.0,0.2
2014Q2,85,0.0,0.2
2014Q3,171,0.011742902152689274,0.2
2014Q4,256,0.009562035255408788,0.2
2015Q1,338,0.013108598124363158,0.2
2015Q2,420,0.018161120837239544,0.2
2015Q3,504,0.017407562758508854,0.2
2015Q4,588,0.018201182192801577,0.2
2016Q1,669,0.016819590925769456,0.2
2016Q2,663,0.018161120837239544,0.2
2016Q3,660,0.017525538417752312,0.2
2016Q4,656,0.018774584085717267,0.2
2017Q1,656,0.01671339804816401,0.2
2017Q2,655,0.014617332553813533,0.2
2017Q3,657,0.013342909438917389,0.2
2017Q4,658,0.013292816401716978,0.2
2018Q1,661,0.013559981652915387,0.2
2018Q2,669,0.012955850616249237,0.2
2018Q3,680,0.013292816401716978,0.2
2018Q4,695,0.010870858440767059,0.2
2019Q1,707,0.014785732835596144,0.2
2019Q2,723,0.014401875846214995,0.2
2019Q3,737,0.013611746153840268,0.2
2019Q4,750,0.010666534083028568,0.2
2020Q1,763,0.013611746153840268,0.2
2020Q2,775,0.01987689385077003,0.2
2020Q3,780,0.036023484710468456,0.2
2020Q4,782,0.03629129998799209,0.2
2021Q1,782,0.031305489396435016,0.2
2021Q2,780,0.031305489396435016,0.2
2021Q3,779,0.04806899522195281,0.2
2021Q4,778,0.05708612964032219,0.2
2022Q1,778,0.0502442134115944,0.2
2022Q2,773,0.041760040005065835,0.2
2022Q3,773,0.02379556101381504,0.2
2022Q4,773,0.023796175040163847,0.2
2023Q1,776,0.023796175040163847,0.2
2023Q2,773,0.02743904860689647,0.2
2023Q3,773,0.015160981519378683,0.2
2023Q4,775,0.01113842886481868,0.2
2024Q1,774,0.013507174481670086,0.2
2024Q2,773,0.014994114199048322,0.2
2024Q3,773,0.011880248885475857,0.2
2024Q4,774,0.011098066440198895,0.2
2025Q1,775,0.01184096798264124,0.2
2025Q2,781,0.010270509560892802,0.2
2025Q3,781,0.006893296518982479,0.2
2025Q4,781,0.009740354088217551,0.2
2026Q1,784,0.008819022888598954,0.2
