sector,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better,block
Communication Services,463,0.24816676977805535,0.2516101523352813,-0.003443382557225927,0.004319654427645789,-1.2904388299538772,0.2030800425591425,49,23,accounting
Consumer Discretionary,484,0.1885631467894065,0.19216328210567712,-0.003600135316270625,-0.006198347107438017,-1.6786206381725841,0.09972570330098328,49,21,accounting
Consumer Staples,449,0.06667760713153362,0.06616956366205311,0.0005080434694805097,0.0022271714922048997,0.8328039123686284,0.40908003295329465,49,26,accounting
Energy,444,0.27308600967824215,0.26702234414972476,0.006063665528517392,-0.0045045045045045045,1.3236609036522842,0.19188553877602402,49,25,accounting
Financials,487,0.11652878204838288,0.11475324204395458,0.001775540004428297,-0.008213552361396304,1.3972610533177487,0.16876092129586792,49,29,accounting
Health Care,425,0.15766483307170895,0.15993055724756194,-0.0022657241758529956,0.004705882352941176,-0.9383088981497039,0.35278335430618724,49,23,accounting
Industrials,479,0.15351441592860396,0.15285924283064023,0.0006551730979637294,0.010438413361169102,0.4380739100757218,0.6632978870622706,49,26,accounting
Materials,402,0.1757041569561865,0.17429671183532247,0.0014074451208640204,-0.004975124378109453,0.4544691100886509,0.6515398510375516,49,25,accounting
Real Estate,427,0.2260064961440973,0.22646242202641076,-0.0004559258823134682,-0.00702576112412178,-0.1832553566809887,0.8553695592980192,49,26,accounting
Technology,465,0.20708069009936733,0.20548578290576183,0.0015949071936054993,0.010752688172043012,0.947491435242855,0.34813429935268514,49,24,accounting
Communication Services,463,0.24816676977805535,0.25258386124305854,-0.004417091465003187,0.004319654427645789,-2.09863628740345,0.04113508081410349,49,13,filing_event
Consumer Discretionary,484,0.1885631467894065,0.1933028983938042,-0.004739751604397713,-0.01859504132231405,-1.9380268431358991,0.05851414101007816,49,15,filing_event
Consumer Staples,449,0.06667760713153362,0.0658819259023149,0.0007956812292187199,0.0022271714922048997,1.2261448885971902,0.22612561219688154,49,24,filing_event
Energy,444,0.27308600967824215,0.2713318352076146,0.0017541744706275342,0.0,0.682949109959257,0.49792220128878784,49,26,filing_event
Financials,487,0.11652878204838288,0.11595495330316735,0.0005738287452155266,-0.012320328542094456,0.5260938919437242,0.6012454287746629,49,21,filing_event
Health Care,425,0.15766483307170895,0.15954493622671265,-0.0018801031550036984,0.0,-1.050845497480028,0.29859148562014165,49,20,filing_event
Industrials,479,0.15351441592860396,0.1564864092175642,-0.0029719932889602507,0.006263048016701462,-1.7240915756795523,0.09112702831829929,49,17,filing_event
Materials,402,0.1757041569561865,0.1776227284625276,-0.0019185715063411157,-0.004975124378109453,-0.9604375976487185,0.3416483098774302,49,22,filing_event
Real Estate,427,0.2260064961440973,0.22549710288068267,0.0005093932634146203,-0.00468384074941452,0.47869169989692334,0.6343313737471321,49,23,filing_event
Technology,465,0.20708069009936733,0.20596999897490417,0.001110691124463159,0.0064516129032258064,0.8645017566903545,0.3916121912458118,49,23,filing_event
Communication Services,463,0.24816676977805535,0.2492507090414991,-0.001083939263443745,0.012958963282937365,-1.2286018585465333,0.22521091837024587,49,21,industry_demand
Consumer Discretionary,484,0.1885631467894065,0.1938795443972714,-0.005316397607864898,-0.004132231404958678,-1.59638376895079,0.11696670077528379,49,23,industry_demand
Consumer Staples,449,0.06667760713153362,0.06732481603395063,-0.0006472089024170125,-0.0066815144766146995,-0.7933587322575043,0.431473248714658,49,21,industry_demand
Energy,444,0.27308600967824215,0.27344747345273274,-0.0003614637744905891,-0.0022522522522522522,-0.117666459521622,0.9068229468950494,49,26,industry_demand
Financials,487,0.11652878204838288,0.11600303596124743,0.0005257460871354452,-0.01026694045174538,0.5828820559370864,0.562701218885163,49,27,industry_demand
Health Care,425,0.15766483307170895,0.1585975152993048,-0.0009326822275958491,-0.009411764705882352,-0.26069600180570973,0.7954421472381098,49,20,industry_demand
Industrials,479,0.15351441592860396,0.15319980478418416,0.00031461114441980187,0.008350730688935281,0.26033353607892273,0.7957200619138758,49,25,industry_demand
Materials,402,0.1757041569561865,0.18015765119387075,-0.0044534942376842634,-0.012437810945273632,-2.193613806668267,0.033138554954459366,49,19,industry_demand
Real Estate,427,0.2260064961440973,0.2266734445668144,-0.0006669484227171119,0.00468384074941452,-0.3858659772645915,0.7013009075354532,49,20,industry_demand
Technology,465,0.20708069009936733,0.20512522868476948,0.0019554614145978477,0.0,1.1055681578004162,0.2744241696286485,49,27,industry_demand
Communication Services,463,0.24816676977805535,0.2502514731461757,-0.002084703368120333,0.0021598272138228943,-1.8516370795249177,0.07023453478341127,49,11,short_interest
Consumer Discretionary,484,0.1885631467894065,0.19155178283454352,-0.002988636045137022,-0.004132231404958678,-1.7411995655117145,0.08805518873213733,49,11,short_interest
Consumer Staples,449,0.06667760713153362,0.06815866292737566,-0.00148105579584204,-0.004454342984409799,-1.5758727429989297,0.12162384283175356,49,9,short_interest
Energy,444,0.27308600967824215,0.27248893692757986,0.0005970727506622864,-0.0022522522522522522,0.40703409196558676,0.6857924052376994,49,16,short_interest
Financials,487,0.11652878204838288,0.11665454565781187,-0.00012576360942899434,-0.008213552361396304,-0.20466364766569128,0.838700308300911,49,12,short_interest
Health Care,425,0.15766483307170895,0.15830029546141502,-0.0006354623897060763,-0.007058823529411765,-0.16402043932672905,0.8704037714498591,49,15,short_interest
Industrials,479,0.15351441592860396,0.15445929223486138,-0.0009448763062574195,0.0020876826722338203,-0.7004772104163829,0.4870109860932421,49,12,short_interest
Materials,402,0.1757041569561865,0.17815665891337612,-0.002452501957189629,-0.0024875621890547263,-1.7484733268211627,0.08677548428564558,49,16,short_interest
Real Estate,427,0.2260064961440973,0.22575646744218442,0.0002500287019128744,-0.00702576112412178,0.046149084557250024,0.9633828935275848,49,18,short_interest
Technology,465,0.20708069009936733,0.20410466503272118,0.002976025066646154,0.004301075268817204,0.8998429040446312,0.37269626876039175,49,14,short_interest
Communication Services,463,0.24816676977805535,0.24960051013325163,-0.001433740355196278,0.0,-0.4707360344919034,0.6399614785958772,49,21,ALL_BLOCKS
Consumer Discretionary,484,0.1885631467894065,0.19114849786259996,-0.002585351073193465,-0.02066115702479339,-0.8502117954969646,0.39942850110687855,49,22,ALL_BLOCKS
Consumer Staples,449,0.06667760713153362,0.06624021502481281,0.00043739210672080753,-0.017817371937639197,0.37208946291758493,0.7114639765627828,49,24,ALL_BLOCKS
Energy,444,0.27308600967824215,0.26668737759604555,0.006398632082196598,-0.0022522522522522522,1.401606330634927,0.16746614559920198,49,32,ALL_BLOCKS
Financials,487,0.11652878204838288,0.11491488637094224,0.0016138956774406354,-0.01026694045174538,1.6461122655168259,0.10627374382662916,49,23,ALL_BLOCKS
Health Care,425,0.15766483307170895,0.1570977038086545,0.0005671292630544389,-0.004705882352941176,0.49774732058003474,0.620934915847092,49,27,ALL_BLOCKS
Industrials,479,0.15351441592860396,0.1514203661351721,0.0020940497934318625,0.0,1.184843546225222,0.2419126889955444,49,26,ALL_BLOCKS
Materials,402,0.1757041569561865,0.17520426353639043,0.0004998934197960603,0.0024875621890547263,0.1716306509969896,0.8644494490587089,49,23,ALL_BLOCKS
Real Estate,427,0.2260064961440973,0.2280573163050777,-0.0020508201609804044,-0.00468384074941452,-0.9387154591015656,0.352576661830427,49,24,ALL_BLOCKS
Technology,465,0.20708069009936733,0.2112425312634875,-0.004161841164120161,0.0064516129032258064,-1.1933470052924646,0.2385985491251939,49,21,ALL_BLOCKS
