,gain_pct,shap_pct,perm_pct,rank_gain,rank_shap,rank_perm
f_lag_yoy_1,20.844,18.877,33.588,2,1,1
f_qoq_mean_4,21.74,17.117,23.017,1,2,2
f_lag_yoy_4,9.479,9.593,14.124,3,3,3
f_lag_yoy_2,3.672,3.31,5.934,5,4,4
f_lag_yoy_5,1.418,3.229,0.949,10,5,12
f_yoy_z,1.252,2.358,1.093,14,6,11
mkt_ret_63,1.463,2.125,0.91,9,7,13
f_qoq_1,1.751,2.011,0.495,7,8,19
f_roll_std_4,3.83,1.932,4.597,4,9,5
mkt_ret_126,1.19,1.762,0.0,15,10,71
f_m_net,1.183,1.625,1.527,17,11,8
f_hist_mean,0.759,1.561,0.343,30,12,22
f_acct_recv_gap,1.374,1.53,0.0,12,13,71
bea_sector_va_qoq,0.798,1.523,0.84,26,14,14
f_log_revenue,0.458,1.469,0.026,39,15,38
f_yoy_vs_sector,2.001,1.396,2.691,6,16,6
f_roll_mean_4,1.4,1.258,0.0,11,17,71
f_sector_yoy_median,0.65,1.229,0.0,32,18,71
f_m_sga,1.184,1.206,1.593,16,19,7
mac_wti_oil_yoy,0.766,1.138,0.254,29,20,24
mac_retail_sales_qoq,0.633,1.121,0.221,33,21,27
f_sector_yoy_loo,1.034,1.118,0.732,19,22,16
mac_wti_oil_qoq,0.469,1.017,0.0,38,23,71
f_acct_gw_jump,1.05,1.006,1.099,18,24,10
f_roll_mean_8,0.413,0.984,0.585,42,25,17
f_roll_std_8,0.969,0.911,0.744,23,26,15
f_hist_std,0.849,0.905,0.228,24,27,26
f_m_net_chg4,0.829,0.846,0.385,25,28,21
mkt_ps_ratio,0.373,0.844,0.05,44,29,36
f_lag_yoy_3,1.01,0.821,0.0,20,30,71
f_acct_defrev_chg4,1.01,0.772,0.156,21,31,29
mac_retail_sales_yoy,0.786,0.762,0.01,27,32,42
f_m_ebitda_chg4,0.501,0.717,0.0,36,33,71
f_m_oper_chg4,0.77,0.666,0.0,28,34,71
f_accel_seasonal,0.746,0.662,0.0,31,35,71
f_accel_1,1.009,0.612,0.453,22,36,20
f_m_oper,1.353,0.553,0.499,13,37,18
f_m_ebitda,1.465,0.547,1.437,8,38,9
mkt_market_cap,0.606,0.523,0.067,34,39,35
f_acct_defrev_to_rev,0.425,0.518,0.11,40,40,32
f_m_rd,0.181,0.511,0.023,55,41,39
bea_sector_va,0.499,0.509,0.0,37,42,71
mkt_ev_to_rev,0.202,0.455,0.0,52,43,71
f_asset_turnover,0.424,0.42,0.153,41,44,30
f_sector_yoy_std,0.325,0.373,0.0,47,45,71
mac_usd_index_yoy,0.182,0.372,0.0,54,46,71
mac_consumer_sentiment,0.319,0.345,0.0,48,47,71
f_m_gross_chg4,0.348,0.333,0.0,46,48,71
f_m_gross,0.115,0.295,0.0,60,49,71
bea_sector_va_yoy,0.382,0.288,0.237,43,50,25
mac_ism_pmi_proxy_qoq,0.372,0.285,0.271,45,51,23
mac_cpi_yoy,0.284,0.268,0.0,50,52,71
f_guid_days_since_last,0.123,0.264,0.116,59,53,31
mkt_drawdown_63,0.308,0.259,0.0,49,54,71
mac_yield_curve_10y2y,0.517,0.247,0.0,35,55,71
mac_wti_oil,0.262,0.228,0.0,51,56,71
mac_usd_index_qoq,0.165,0.223,0.0,56,57,71
mac_cpi_qoq,0.202,0.217,0.166,53,58,28
mac_ism_pmi_proxy,0.092,0.194,0.0,64,59,71
mac_fed_funds,0.15,0.186,0.097,58,60,33
mac_ust_3m,0.035,0.149,0.003,71,61,45
mac_vix,0.151,0.135,0.0,57,62,71
f_m_capex,0.025,0.124,0.0,75,63,71
mac_ust_2y,0.026,0.117,0.0,74,64,71
mac_ism_pmi_proxy_yoy,0.095,0.113,0.004,63,65,44
f_m_cfo,0.072,0.111,0.0,66,66,71
mac_unemployment,0.077,0.095,0.0,65,67,71
f_guid_raise_90d,0.014,0.094,0.0,78,68,71
mac_usd_index,0.097,0.083,0.0,62,69,71
mac_ust_10y,0.108,0.076,0.038,61,70,37
f_is_q1,0.061,0.07,0.015,67,71,41
mac_core_pce,0.034,0.052,0.0,72,72,71
f_obs_count,0.043,0.047,0.017,69,73,40
sec_Energy,0.012,0.045,0.001,79,74,46
mac_cpi,0.058,0.043,0.0,68,75,71
mac_baa_spread,0.037,0.043,0.094,70,76,34
f_is_q2,0.018,0.031,0.0,77,77,71
f_acct_ma_recent,0.007,0.028,0.0,80,78,71
mac_retail_sales,0.033,0.028,0.0,73,79,71
sec_Technology,0.02,0.023,0.0,76,80,71
sec_Industrials,0.003,0.022,0.0,83,81,71
f_guid_lower_90d,0.002,0.021,0.0,84,82,71
f_guid_latest_raise,0.005,0.015,0.0,81,83,71
sec_Communication Services,0.003,0.013,0.0,82,84,71
sec_Real Estate,0.0,0.0,0.0,90,90,71
sec_Materials,0.0,0.0,0.0,90,90,71
sec_Health Care,0.0,0.0,0.0,90,90,71
sec_Financials,0.0,0.0,0.0,90,90,71
f_guid_count_180d,0.0,0.0,0.009,90,90,43
sec_Consumer Staples,0.0,0.0,0.0,90,90,71
f_guid_net_dir_180d,0.0,0.0,0.0,90,90,71
f_guid_latest_lower,0.0,0.0,0.0,90,90,71
f_is_q4,0.0,0.0,0.0,90,90,71
f_is_q3,0.0,0.0,0.0,90,90,71
f_guid_net_dir_365d,0.0,0.0,0.0,90,90,71
sec_Consumer Discretionary,0.0,0.0,0.0,90,90,71
