target,feature,variable,lag,shap_pct_of_model
quarterly,mac_fed_funds,fed_funds (level),T-1,0.18878262410164792
quarterly,mac_ust_10y,ust_10y (level),T-1,0.030866578170698187
quarterly,mac_ust_2y,ust_2y (level),T-1,0.05733524293966132
quarterly,mac_ust_3m,ust_3m (level),T-1,0.02681494014567443
quarterly,mac_yield_curve_10y2y,yield_curve_10y2y (level),T-1,0.07657911480425107
quarterly,mac_cpi,cpi (level),T-1,0.04974385346422491
quarterly,mac_core_pce,core_pce (level),T-1,0.0
quarterly,mac_unemployment,unemployment (level),T-1,0.027688442498443377
quarterly,mac_ism_pmi_proxy,ism_pmi_proxy (level),T-1,0.18291488775320283
quarterly,mac_retail_sales,retail_sales (level),T-1,0.011936438747522444
quarterly,mac_consumer_sentiment,consumer_sentiment (level),T-1,0.20824271216431023
quarterly,mac_vix,vix (level),T-1,0.16737882431476822
quarterly,mac_baa_spread,baa_spread (level),T-1,0.08284551118086393
quarterly,mac_usd_index,usd_index (level),T-1,0.028811559606244565
quarterly,mac_wti_oil,wti_oil (level),T-1,0.11438453926334119
quarterly,mac_cpi_yoy,cpi (YoY chg),T-1,0.2125792086831173
quarterly,mac_cpi_qoq,cpi (QoQ chg),T-1,0.10528738851888088
quarterly,mac_retail_sales_yoy,retail_sales (YoY chg),T-1,0.6659326786968399
quarterly,mac_retail_sales_qoq,retail_sales (QoQ chg),T-1,0.7730420583665751
quarterly,mac_ism_pmi_proxy_yoy,ism_pmi_proxy (YoY chg),T-1,0.11963845613596483
quarterly,mac_ism_pmi_proxy_qoq,ism_pmi_proxy (QoQ chg),T-1,0.2532260377981499
quarterly,mac_wti_oil_yoy,wti_oil (YoY chg),T-1,0.9024777386920052
quarterly,mac_wti_oil_qoq,wti_oil (QoQ chg),T-1,0.8201968240532701
quarterly,mac_usd_index_yoy,usd_index (YoY chg),T-1,0.1850171700432551
quarterly,mac_usd_index_qoq,usd_index (QoQ chg),T-1,0.24049409853656342
quarterly,mac_fed_funds_l2,fed_funds (level),T-2,0.2574881776970651
quarterly,mac_ust_10y_l2,ust_10y (level),T-2,0.08583257738616579
quarterly,mac_ust_2y_l2,ust_2y (level),T-2,0.04557158514644566
quarterly,mac_ust_3m_l2,ust_3m (level),T-2,0.5988812808970357
quarterly,mac_yield_curve_10y2y_l2,yield_curve_10y2y (level),T-2,0.10044350828854415
quarterly,mac_cpi_l2,cpi (level),T-2,0.0
quarterly,mac_core_pce_l2,core_pce (level),T-2,0.0
quarterly,mac_unemployment_l2,unemployment (level),T-2,0.17679781613066825
quarterly,mac_ism_pmi_proxy_l2,ism_pmi_proxy (level),T-2,0.11592333814321774
quarterly,mac_retail_sales_l2,retail_sales (level),T-2,0.025635676719382647
quarterly,mac_consumer_sentiment_l2,consumer_sentiment (level),T-2,0.1150424284982216
quarterly,mac_vix_l2,vix (level),T-2,0.1689613496910657
quarterly,mac_baa_spread_l2,baa_spread (level),T-2,0.07431504674182277
quarterly,mac_usd_index_l2,usd_index (level),T-2,0.03605650797147255
quarterly,mac_wti_oil_l2,wti_oil (level),T-2,0.2766936960803001
quarterly,mac_fed_funds_l3,fed_funds (level),T-3,0.0638529032523299
quarterly,mac_ust_10y_l3,ust_10y (level),T-3,0.19116244237385663
quarterly,mac_ust_2y_l3,ust_2y (level),T-3,0.0
quarterly,mac_ust_3m_l3,ust_3m (level),T-3,0.02869353503660536
quarterly,mac_yield_curve_10y2y_l3,yield_curve_10y2y (level),T-3,0.13431065609397316
quarterly,mac_cpi_l3,cpi (level),T-3,0.0
quarterly,mac_core_pce_l3,core_pce (level),T-3,0.0
quarterly,mac_unemployment_l3,unemployment (level),T-3,0.02825755075789386
quarterly,mac_ism_pmi_proxy_l3,ism_pmi_proxy (level),T-3,0.40823494576871244
quarterly,mac_retail_sales_l3,retail_sales (level),T-3,0.0
quarterly,mac_consumer_sentiment_l3,consumer_sentiment (level),T-3,0.15975896246553178
quarterly,mac_vix_l3,vix (level),T-3,0.15847667485539826
quarterly,mac_baa_spread_l3,baa_spread (level),T-3,0.04474057746356575
quarterly,mac_usd_index_l3,usd_index (level),T-3,0.0428108050520755
quarterly,mac_wti_oil_l3,wti_oil (level),T-3,0.08719874820101411
quarterly,mac_fed_funds_l4,fed_funds (level),T-4,0.14239881728304735
quarterly,mac_ust_10y_l4,ust_10y (level),T-4,0.09805349413918106
quarterly,mac_ust_2y_l4,ust_2y (level),T-4,0.0634205258161869
quarterly,mac_ust_3m_l4,ust_3m (level),T-4,0.009943766451511833
quarterly,mac_yield_curve_10y2y_l4,yield_curve_10y2y (level),T-4,0.03297718291335457
quarterly,mac_cpi_l4,cpi (level),T-4,0.0
quarterly,mac_core_pce_l4,core_pce (level),T-4,0.0
quarterly,mac_unemployment_l4,unemployment (level),T-4,0.12310818003980278
quarterly,mac_ism_pmi_proxy_l4,ism_pmi_proxy (level),T-4,0.15727118323243044
quarterly,mac_retail_sales_l4,retail_sales (level),T-4,0.01942693319678697
quarterly,mac_consumer_sentiment_l4,consumer_sentiment (level),T-4,0.2791878797664214
quarterly,mac_vix_l4,vix (level),T-4,0.15521672618999952
quarterly,mac_baa_spread_l4,baa_spread (level),T-4,0.12700588404291238
quarterly,mac_usd_index_l4,usd_index (level),T-4,0.22693590497546948
quarterly,mac_wti_oil_l4,wti_oil (level),T-4,0.17231026807464678
annual,mac_fed_funds,fed_funds (level),T-1,0.044224362771494226
annual,mac_ust_10y,ust_10y (level),T-1,0.05390469570704417
annual,mac_ust_2y,ust_2y (level),T-1,0.053486122705669915
annual,mac_ust_3m,ust_3m (level),T-1,0.01762113994285736
annual,mac_yield_curve_10y2y,yield_curve_10y2y (level),T-1,0.00940869819055316
annual,mac_cpi,cpi (level),T-1,0.021830592752257277
annual,mac_core_pce,core_pce (level),T-1,0.0
annual,mac_unemployment,unemployment (level),T-1,0.04191516587115703
annual,mac_ism_pmi_proxy,ism_pmi_proxy (level),T-1,0.4535658682028118
annual,mac_retail_sales,retail_sales (level),T-1,0.0
annual,mac_consumer_sentiment,consumer_sentiment (level),T-1,0.1215495240821617
annual,mac_vix,vix (level),T-1,0.08457736781737765
annual,mac_baa_spread,baa_spread (level),T-1,0.15029670366872763
annual,mac_usd_index,usd_index (level),T-1,0.06208556987016132
annual,mac_wti_oil,wti_oil (level),T-1,0.23186476237336442
annual,mac_cpi_yoy,cpi (YoY chg),T-1,0.045905091671545835
annual,mac_cpi_qoq,cpi (QoQ chg),T-1,0.1594683161470863
annual,mac_retail_sales_yoy,retail_sales (YoY chg),T-1,0.09982290208008515
annual,mac_retail_sales_qoq,retail_sales (QoQ chg),T-1,0.434725502954458
annual,mac_ism_pmi_proxy_yoy,ism_pmi_proxy (YoY chg),T-1,0.18023424860997167
annual,mac_ism_pmi_proxy_qoq,ism_pmi_proxy (QoQ chg),T-1,0.052020890944222985
annual,mac_wti_oil_yoy,wti_oil (YoY chg),T-1,0.13234617293539327
annual,mac_wti_oil_qoq,wti_oil (QoQ chg),T-1,0.05062588825813174
annual,mac_usd_index_yoy,usd_index (YoY chg),T-1,0.2140703699935406
annual,mac_usd_index_qoq,usd_index (QoQ chg),T-1,0.03955240628026732
annual,mac_fed_funds_l2,fed_funds (level),T-2,0.09971477689819405
annual,mac_ust_10y_l2,ust_10y (level),T-2,0.9522799794975411
annual,mac_ust_2y_l2,ust_2y (level),T-2,0.02394427411256773
annual,mac_ust_3m_l2,ust_3m (level),T-2,0.15493272791734483
annual,mac_yield_curve_10y2y_l2,yield_curve_10y2y (level),T-2,0.024152426387360666
annual,mac_cpi_l2,cpi (level),T-2,0.0
annual,mac_core_pce_l2,core_pce (level),T-2,0.059793621901445576
annual,mac_unemployment_l2,unemployment (level),T-2,0.0703942425738763
annual,mac_ism_pmi_proxy_l2,ism_pmi_proxy (level),T-2,2.9687707300223876
annual,mac_retail_sales_l2,retail_sales (level),T-2,0.011439093834335149
annual,mac_consumer_sentiment_l2,consumer_sentiment (level),T-2,0.08953031492260514
annual,mac_vix_l2,vix (level),T-2,0.07968161383338396
