bucket,gain_pct_of_total,shap_share_of_macro,n_cols,target
lag 1 (changes),3.650218439074786,40.492643375573046,10,quarterly
lag 1 (levels),1.0016378269426423,11.872892032637713,15,quarterly
lag 2,0.7876600718426352,19.66605592824541,15,quarterly
lag 3,1.0526077696893184,12.754822295878725,15,quarterly
lag 4,1.8873527111029396,15.213586367665103,15,quarterly
lag 1 (changes),1.3458052669042033,10.873522205364658,10,annual
lag 1 (levels),1.076775672121986,10.391573352679078,15,annual
lag 2,2.2912690814060133,45.80379407841102,15,annual
lag 3,1.579879293850763,18.251736730215995,15,annual
lag 4,1.6572839934295638,14.679373633329252,15,annual
