sector,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better
Energy,444,0.2832013657237486,0.2741790777650998,0.00902228795864879,-0.0022522522522522522,1.2109152294243732,0.2318564493891142,49,21
Consumer Discretionary,484,0.19758132430093303,0.192897047427585,0.00468427687334802,-0.008264462809917356,1.6811718881931523,0.09922617151725516,49,26
Communication Services,463,0.25084505258697687,0.24888998514489327,0.0019550674420835967,0.0064794816414686825,0.5938777302866425,0.5553825243826541,49,23
Financials,487,0.11666992377037161,0.11530522895583244,0.0013646948145391719,-0.008213552361396304,1.113968941395709,0.2708396172539306,49,27
Technology,469,0.20371618002324304,0.2025766814197395,0.0011394986035035415,0.006396588486140725,0.35941170466354755,0.7208634975641874,49,25
Materials,402,0.17541848578839553,0.1759175287561598,-0.0004990429677642627,-0.007462686567164179,-0.1497726186026563,0.8815715731270104,49,28
Health Care,425,0.15925932386853922,0.16168605148053633,-0.0024267276119971093,-0.004705882352941176,-1.0721686559927808,0.289005441072129,49,16
Consumer Staples,449,0.06547952891899386,0.06802832236170193,-0.002548793442708072,-0.004454342984409799,-0.8225917851114685,0.41480804867902366,49,24
Industrials,479,0.1499079650701243,0.15353637559365035,-0.0036284105235260544,0.008350730688935281,-1.8318960713526655,0.07317565007663797,49,25
Real Estate,427,0.2221031625978855,0.22682060538273577,-0.0047174427848502565,-0.00936768149882904,-1.437544381308608,0.15705090628025942,49,19
