scope,n,rmse_base,rmse_alt,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better
ALL,4529,0.19068499571238123,0.1900172104318596,0.0006677852805216378,0.003753587988518437,0.8373047411635555,0.4065709909990902,49,22
Communication Services,463,0.24888998514489327,0.2464496870647632,0.0024402980801300767,0.0021598272138228943,1.1275040617456151,0.2651341411367819,49,27
Consumer Discretionary,484,0.192897047427585,0.19520633907466928,-0.002309291647084266,0.0,-1.2699817993845102,0.21021325905751204,49,24
Consumer Staples,449,0.06802832236170193,0.0692672091663334,-0.0012388868046314672,0.004454342984409799,-0.994072841064216,0.32517240859754004,49,23
Energy,444,0.2741790777650998,0.2679929909428091,0.006186086822290715,0.009009009009009009,1.46391095801637,0.14973694062463952,49,26
Financials,487,0.11530522895583244,0.11582077019552495,-0.0005155412396925102,0.0,-0.4697905079193377,0.6406320461784196,49,25
Health Care,425,0.16168605148053633,0.1596752061446511,0.0020108453358852196,0.002352941176470588,1.117367317696847,0.26939899824385916,49,27
Industrials,479,0.15353637559365035,0.15193195869117868,0.0016044169024716781,-0.006263048016701462,1.5256693734909332,0.1336549157714202,49,22
Materials,402,0.1759175287561598,0.17529137837834094,0.0006261503778188515,0.01990049751243781,0.6383663572226334,0.5262694053557562,49,22
Real Estate,427,0.22682060538273577,0.2280798469723398,-0.0012592415896040265,0.01639344262295082,-0.675302700055163,0.5027238011401689,49,22
Technology,469,0.2025766814197395,0.2061368063403815,-0.003560124920642005,-0.006396588486140725,-0.9949582169328275,0.32474603734051044,49,25
