sector,n,rmse_pooled,rmse_specialist,rmse_delta,dir_acc_delta,dm_stat,p_value,n_quarters,quarters_better,n_train_labeled
ALL,3941,0.19406570874375698,0.2071191700370872,-0.013053461293330237,-0.03907637655417407,-2.5672604167037054,0.013726600964928237,45,15,5480
Communication Services,409,0.25553255380431794,0.2559993573801231,-0.0004668035758051414,-0.07090464547677261,-0.024332992952511175,0.9807022411954952,43,17,566
Consumer Discretionary,444,0.1937955823171706,0.23787917508460588,-0.04408359276743529,-0.04954954954954955,-1.3426177091634406,0.18628179939629036,45,17,599
Consumer Staples,393,0.06763685398169657,0.0979014824759176,-0.030264628494221027,-0.015267175572519083,-1.0191071282043975,0.31412823858148825,42,20,543
Energy,374,0.2767040582144088,0.2781170227371957,-0.0014129645227868859,-0.0213903743315508,-0.22718526305728307,0.8214975369245392,39,14,525
Financials,437,0.11937413630490122,0.1281994592571232,-0.008825322952221978,-0.009153318077803204,-2.3865953187740017,0.021476183825632926,44,15,596
Health Care,358,0.17304549149019277,0.18558908318703354,-0.012543591696840772,-0.0335195530726257,-0.9987024202228336,0.3240953347447917,40,19,510
Industrials,431,0.12800185077817033,0.15250964766756517,-0.024507796889394834,-0.0765661252900232,-2.2531054802051447,0.029408303863347342,44,12,590
Materials,308,0.18096596406927215,0.19649000106365336,-0.015524036994381207,0.0,-1.3504862225232912,0.18663716693597196,32,14,458
Real Estate,371,0.24193116031497686,0.245268936500892,-0.003337776185915131,-0.08086253369272237,-0.2887695594162376,0.7742127621519185,42,19,526
Technology,416,0.2125756962428364,0.22302256525899444,-0.010446869016158045,-0.02403846153846154,-2.1973865404139246,0.033560489443310554,43,15,567
