config,model,n_features,n,mae,rmse,r2,dir_acc
no_macro,lightgbm,56,4529,0.09500173532188874,0.19181399118462478,0.41757098807919757,0.8260101567674983
with_macro,lightgbm,81,4529,0.0951068257429268,0.19068499571238123,0.4244070332730344,0.8238021638330757
macro_only,lightgbm,25,4529,0.1332765654496105,0.23577948213219227,0.11997612487545906,0.7381320379774785
baseline:company_hist,-,0,4529,0.1378221345553885,0.24622178090448585,0.0403002708907334,0.7105321262971959
baseline:expanding_mean,-,0,4529,0.14148079294222393,0.2517166672405692,-0.0030125840139290094,0.7138441156988298
baseline:persistence,-,0,4529,0.10048752779245655,0.22865528560362652,0.17235341809116878,0.8156325899757121
baseline:seasonal,-,0,4529,0.18570944400191838,0.3469672710551677,-0.9057216001280919,0.6462795319054979
baseline:sector_median,-,0,4529,0.12631087998244386,0.23982002865079063,0.08955579311105832,0.7542503863987635
baseline:trailing_mean4,-,0,4529,0.12627644100121882,0.24569040398457218,0.044438101455704704,0.7531463899315523
baseline:trailing_mean8,-,0,4529,0.14103165484319774,0.2583297786913128,-0.05640726590046685,0.7167145065135792
