model,ticker,n,mae,rmse,r2,dir_acc
baseline:company_hist,AAPL,30,0.19332507596655857,0.22004047202858903,-3.157793760358591,0.8666666666666667
baseline:company_hist,ABBV,46,0.0992926823378183,0.13251684907065722,-0.2532059789574681,0.8913043478260869
baseline:company_hist,ABT,46,0.10347755337460798,0.13813295591526148,-0.740725274892265,0.5217391304347826
baseline:company_hist,ADBE,39,0.06784622934530682,0.08549734918329573,-0.921456131709969,1.0
baseline:company_hist,AMGN,46,0.042329332512467836,0.05521466533112978,-0.1320974620825952,0.9347826086956522
baseline:company_hist,AMT,46,0.5044466545099605,0.8888223651203474,-0.0806305380131449,0.6086956521739131
baseline:company_hist,AMZN,46,0.10452177900499486,0.11888618294836631,-0.6009652324224706,1.0
baseline:company_hist,APD,46,0.09441100429495573,0.1210527262971076,-0.2047159555354623,0.43478260869565216
baseline:company_hist,AVB,42,0.30911700915620893,0.5351220634734818,-0.2077221833049976,0.5238095238095238
baseline:company_hist,BA,46,0.11162032778491696,0.15391507102153956,-0.18885423604493323,0.5652173913043478
baseline:company_hist,BAC,46,0.06060266567968228,0.06744414702063065,-1.2084710788173556,0.30434782608695654
baseline:company_hist,BKNG,46,0.23610495791161593,0.34538573302490816,-0.17173376283283126,0.8913043478260869
baseline:company_hist,BKR,34,0.23270160917957064,0.29002388425160025,-1.3816605026360165,0.7352941176470589
baseline:company_hist,BMY,46,0.12417837075138331,0.18150288499669706,-0.4243274077566437,0.6086956521739131
baseline:company_hist,BRK.B,46,0.07900579334597053,0.10543632548318471,-0.4329206897013349,0.6521739130434783
baseline:company_hist,C,45,0.03821000669401035,0.045633291340933135,-0.12724678670752243,0.3111111111111111
baseline:company_hist,CAT,46,0.1550099662360574,0.17982363892374298,-0.5087646906293259,0.5
baseline:company_hist,CCI,46,0.4855391862187051,0.7278672671464297,-0.09893643908892491,0.4782608695652174
baseline:company_hist,CHTR,46,0.3985400625664561,0.6409957495897579,-0.2517251325683807,0.9565217391304348
baseline:company_hist,CL,46,0.041828448802900875,0.0492801834348494,-0.26875618283819835,0.5434782608695652
baseline:company_hist,CMCSA,46,0.08015442238308117,0.08981596362406005,-1.4090997373988396,0.8478260869565217
baseline:company_hist,COP,46,0.3751474299562069,0.5806315400782236,-0.18573136872115836,0.5217391304347826
baseline:company_hist,COST,47,0.038618159219815644,0.047876992825105394,-0.22171658103124092,1.0
baseline:company_hist,CRM,47,0.0765230355622905,0.0938224609812524,-0.6025478366377841,1.0
baseline:company_hist,CSCO,39,0.05642431359039223,0.06473466266389427,-0.5767220354882918,0.6410256410256411
baseline:company_hist,CVX,46,0.2346712851709325,0.3106466214108356,-0.13129947148093146,0.2608695652173913
