model,ticker,n,mae,rmse,r2,dir_acc
baseline:company_hist,AMGN,6,0.07851146421453972,0.08136711881714893,-51.429917016502884,1.0
baseline:company_hist,AMT,15,0.03831326665954894,0.047825666466297545,-0.16903379928286766,1.0
baseline:company_hist,AMZN,44,0.05814483206395924,0.06438981185362293,-1.7461242301679039,1.0
baseline:company_hist,BA,6,0.3437156952472513,0.3564695027561485,-16.62136414245282,0.16666666666666666
baseline:company_hist,BKNG,44,0.0634099261084219,0.10972013323625068,-0.1700539812886135,0.9545454545454546
baseline:company_hist,BKR,17,0.233731424317769,0.31503987489496454,-1.582760569748432,0.5882352941176471
baseline:company_hist,CAT,44,0.03942087321835046,0.043862284410041974,-0.39110522570124906,1.0
baseline:company_hist,CCI,12,0.08330287576582447,0.12553652654435885,-0.07540412060958102,1.0
baseline:company_hist,CHTR,44,0.026881795318928568,0.029306226266203626,-0.31289063303914655,1.0
baseline:company_hist,CL,6,0.06652293438831061,0.06903888037149848,-5.984654779665226,1.0
baseline:company_hist,CMCSA,32,0.023054003492252402,0.03419020320287247,-0.4639098573225622,1.0
baseline:company_hist,COST,23,0.0039447122232610715,0.004312459321727406,-3.1065621407689408,1.0
baseline:company_hist,CRM,45,0.04627942289645374,0.06791959267322932,-0.24817749203397166,1.0
baseline:company_hist,DIS,19,0.029711277860275966,0.03732508871995244,-1.9972446455441282,1.0
baseline:company_hist,DLR,44,0.058679400201131354,0.07277031003514715,-0.6636943451488531,1.0
baseline:company_hist,EOG,44,0.1781502465810768,0.2893255604176798,-0.21766639060817683,0.9090909090909091
baseline:company_hist,EQIX,44,0.015341794136025842,0.018310097186137974,-0.1700299196013666,1.0
baseline:company_hist,F,6,0.2069792890993876,0.22340023830171646,-406.8108866989421,1.0
baseline:company_hist,GM,42,0.04592668887730594,0.07499571029900788,-6.528020115105589,1.0
baseline:company_hist,HAL,6,0.10699180369063765,0.11305028422580932,-28.564325524570908,1.0
baseline:company_hist,HD,45,0.022623094004392715,0.02466810588347983,-12.302129241626352,1.0
baseline:company_hist,HON,6,0.04349680935642274,0.04664216025151321,-171.59063323382185,1.0
baseline:company_hist,INTC,5,0.017192062220877026,0.020328139818521898,-3.3477754617955986,1.0
baseline:company_hist,KO,5,0.027491195342847892,0.035835186782885685,-0.15230558159092134,1.0
baseline:company_hist,LIN,34,0.051094360152084704,0.06002825605895347,-0.5885237913938623,1.0
baseline:company_hist,LOW,38,0.04499534067384597,0.07087383296342104,-9.901886241250068,1.0
baseline:company_hist,MA,40,0.09273606902184735,0.10248799372020326,-0.19943027794353418,1.0
baseline:company_hist,MCD,44,0.05487185809102802,0.06560462469613541,-0.9854116011879719,1.0
baseline:company_hist,NFLX,44,0.0810906550529255,0.09644578624865803,-0.3735597174233929,1.0
baseline:company_hist,NVDA,21,0.09808073985612882,0.11606877422031765,-2.0023054957033644,1.0
baseline:company_hist,PEP,6,0.11892298108716699,0.12883715987232686,-140.70183025351264,1.0
baseline:company_hist,PLD,31,0.14779898999217803,0.21706361329068477,-7.181295379844519,1.0
baseline:company_hist,PSA,14,0.016051262561764628,0.017471369519745972,-6.781875724525493,1.0
baseline:company_hist,RTX,6,0.13337425035892667,0.14258928154241202,-244.4035753200309,1.0
baseline:company_hist,SBUX,31,0.03814281003082505,0.04669133643578551,-0.6377562397722492,1.0
baseline:company_hist,SCCO,35,0.03991100664802772,0.0539554807215951,-0.23439064961486555,1.0
baseline:company_hist,SPG,44,0.019141250760079474,0.023923291036956878,-5.438786804847719,1.0
baseline:company_hist,T,44,0.04988747263890336,0.066348317715074,-0.06525006487447116,1.0
baseline:company_hist,TMUS,44,0.0677677302512255,0.07599268821408242,-1.3811261406425186,1.0
baseline:company_hist,TSLA,14,0.47063163019027826,0.48448993749003155,-154.4229768929322,1.0
baseline:company_hist,TTWO,44,0.22385075492867318,0.3089026950526822,-0.15278193468638257,0.4318181818181818
baseline:company_hist,UNH,44,0.007752683845181438,0.011721629707981717,-0.1182574236162488,1.0
baseline:company_hist,UPS,44,0.015300277123166645,0.01918222060207141,-0.26725599837800273,1.0
baseline:company_hist,V,44,0.06999545643166784,0.07927462997880155,-3.8655467919970334,1.0
baseline:company_hist,VLO,34,0.0645845557766211,0.10609338344296317,-10.534796404309565,0.9411764705882353
baseline:company_hist,VZ,44,0.030866894141517998,0.033958401260363764,-1.0283175755321845,1.0
baseline:company_hist,WBD,44,0.1501080718185822,0.2009474662489403,-0.6749981286435625,0.8863636363636364
baseline:company_hist,WMB,44,0.08251090574740655,0.09983840515397416,-0.22270453091801246,1.0
baseline:company_hist,WMT,6,0.19913076604964372,0.2180448405617284,-159259.6682123682,1.0
baseline:expanding_mean,AMGN,6,0.09235550058683041,0.09310190294075212,-67.64334044507018,1.0
baseline:expanding_mean,AMT,15,0.2937556520955329,0.2969737070981451,-44.07554710831524,1.0
baseline:expanding_mean,AMZN,44,0.17699798802586383,0.18131336091498299,-20.774364289966897,1.0
baseline:expanding_mean,BA,6,0.34976012897458314,0.36006681221661385,-16.978810413665457,0.3333333333333333
baseline:expanding_mean,BKNG,44,0.06911439995994856,0.10272374388831902,-0.02559270923513468,0.9545454545454546
baseline:expanding_mean,BKR,17,0.23252607121692018,0.30441134289152644,-1.4114305399113567,0.9411764705882353
baseline:expanding_mean,CAT,44,0.12340798142230805,0.12902236962078742,-11.036702222200486,1.0
baseline:expanding_mean,CCI,12,0.2883545182736415,0.31349427916083233,-5.706419563937583,1.0
baseline:expanding_mean,CHTR,44,0.06449942453854177,0.06933519557084426,-6.348796865870442,1.0
baseline:expanding_mean,CL,6,0.07584984438308351,0.08001954933834735,-8.38317181456495,1.0
baseline:expanding_mean,CMCSA,32,0.02336315766507442,0.029742561530443083,-0.1078161922593941,1.0
baseline:expanding_mean,COST,23,0.2592795734963063,0.2593122112717972,-14847.21724746976,1.0
baseline:expanding_mean,CRM,45,0.1951212615714563,0.20465726230442036,-10.332886048914572,1.0
baseline:expanding_mean,DIS,19,0.0751552252616319,0.0783492971146317,-12.206590294273978,1.0
baseline:expanding_mean,DLR,44,0.1902382870936268,0.19846249186942544,-11.374337874448774,1.0
baseline:expanding_mean,EOG,44,0.20103446479545087,0.2717115245536769,-0.07391728253782937,0.9090909090909091
baseline:expanding_mean,EQIX,44,0.11058938632523047,0.11200707692582719,-42.78310884019867,1.0
baseline:expanding_mean,F,6,0.24582102522587282,0.24604785735408533,-493.68726027736767,1.0
baseline:expanding_mean,GM,42,0.16229772301194298,0.16447052810609536,-35.20629613006999,1.0
baseline:expanding_mean,HAL,6,0.12308753863483403,0.12476296733174741,-35.00775534468865,1.0
baseline:expanding_mean,HD,45,0.14130015549475292,0.14148071509201776,-436.56648249081894,1.0
baseline:expanding_mean,HON,6,0.049618958971518363,0.049785656565521495,-195.63842476023686,1.0
baseline:expanding_mean,INTC,5,0.017192062220877026,0.020328139818521898,-3.3477754617955986,1.0
baseline:expanding_mean,KO,5,0.027491195342847892,0.035835186782885685,-0.15230558159092134,1.0
baseline:expanding_mean,LIN,34,0.046290642525343935,0.05943302121638621,-0.557176662488885,1.0
baseline:expanding_mean,LOW,38,0.17568592410527537,0.1769783107260564,-66.97823673487169,1.0
baseline:expanding_mean,MA,40,0.1917979408882215,0.2137746272006226,-4.218447758608018,1.0
baseline:expanding_mean,MCD,44,0.12888002073404306,0.13749881755401339,-7.7212667735619736,1.0
baseline:expanding_mean,NFLX,44,0.13935841483530143,0.16157002168075427,-2.8548066224095527,1.0
baseline:expanding_mean,NVDA,21,0.0604860074132053,0.07071188028901478,-0.11431725774146084,1.0
baseline:expanding_mean,PEP,6,0.13983629758553462,0.14025162257164936,-166.92252783232715,1.0
baseline:expanding_mean,PLD,31,0.5288875682238163,0.5341691834462899,-48.54566661363471,1.0
baseline:expanding_mean,PSA,14,0.39771394430075374,0.39778847586824334,-4032.9897194688074,1.0
baseline:expanding_mean,RTX,6,0.15346416593936416,0.1537632586427227,-284.3726004205471,1.0
baseline:expanding_mean,SBUX,31,0.11176252658505408,0.11754999023059139,-9.380585451250063,1.0
baseline:expanding_mean,SCCO,35,0.22666969162680548,0.23181644997055476,-21.786099648795055,1.0
baseline:expanding_mean,SPG,44,0.4250700504991223,0.4251997783248162,-2032.9873935478788,1.0
baseline:expanding_mean,T,44,0.04374356636522907,0.06668958002807326,-0.07623646574828169,1.0
baseline:expanding_mean,TMUS,44,0.04211336970662352,0.05084536310933353,-0.06596143697154577,1.0
baseline:expanding_mean,TSLA,14,0.367521560906059,0.36973444136883354,-89.51603368243187,0.0
baseline:expanding_mean,TTWO,44,0.38129492091362993,0.4774927406434149,-1.754465353120183,0.6363636363636364
baseline:expanding_mean,UNH,44,0.2140807013951876,0.2143417361755011,-372.92050617465776,1.0
baseline:expanding_mean,UPS,44,0.1638562171349506,0.16461743731041006,-92.32935536974168,1.0
