model,year,n,mae,rmse,r2,dir_acc
baseline:company_hist,2014,338,0.09254203969448524,0.16214942838509475,0.21880222458567167,0.7603550295857988
baseline:company_hist,2015,331,0.13683872987838122,0.24247015858772714,-0.18300836831974454,0.6253776435045317
baseline:company_hist,2016,325,0.10209555662374271,0.16782286464733343,0.26999647959233186,0.6707692307692308
baseline:company_hist,2017,337,0.10287576348319244,0.17103319837261813,0.1020772389627348,0.7952522255192879
baseline:company_hist,2018,373,0.14085676491464663,0.26677255273058315,0.06661484288510333,0.7989276139410187
baseline:company_hist,2019,393,0.12450762684845795,0.2099782452464356,0.024648540117546358,0.6870229007633588
baseline:company_hist,2020,390,0.18133818924799863,0.2583286174583988,-0.03320774997888365,0.5461538461538461
baseline:company_hist,2021,388,0.21673782334711028,0.37948129468524067,-0.19098910967820504,0.7783505154639175
baseline:company_hist,2022,388,0.16792266517653218,0.3008327630972324,-0.009630357900325182,0.7680412371134021
baseline:company_hist,2023,386,0.16323439526229042,0.27609137174248455,-0.038949095309345205,0.6502590673575129
baseline:company_hist,2024,389,0.130413489917092,0.268447372812901,0.03702795566733319,0.6760925449871465
baseline:company_hist,2025,395,0.09439614941650187,0.13974273868922868,-0.18372439772763305,0.7291139240506329
baseline:company_hist,2026,96,0.0761082605344897,0.1096978375687921,0.14096782740795033,0.8854166666666666
baseline:expanding_mean,2014,338,0.1109329439590655,0.18411064845063466,-0.00713564989158888,0.7366863905325444
baseline:expanding_mean,2015,331,0.1482234862364067,0.23826139045644046,-0.1422957673532801,0.5800604229607251
baseline:expanding_mean,2016,325,0.12585555672126164,0.19735926917917765,-0.009573055313404133,0.64
baseline:expanding_mean,2017,337,0.1113854019547951,0.18739949308717518,-0.07799058930934533,0.8724035608308606
baseline:expanding_mean,2018,373,0.14768683449455627,0.2787769462558141,-0.019277210719591764,0.8337801608579088
baseline:expanding_mean,2019,393,0.1309591783470446,0.21574881088645084,-0.029696782511469344,0.6666666666666666
baseline:expanding_mean,2020,390,0.18970266124859034,0.2638406774146563,-0.07777007881325515,0.517948717948718
