model,year,n,mae,rmse,r2,dir_acc
baseline:company_hist,2014,320,0.13567172528754576,0.3237682679335267,-3.706830122977614,0.703125
baseline:company_hist,2015,309,0.16225993340101938,0.33635081198975836,-1.0733618379301397,0.6440129449838188
baseline:company_hist,2016,311,0.1275287371783467,0.2883366374217473,-0.04603547624672344,0.6688102893890675
baseline:company_hist,2017,323,0.13658684564651832,0.22900582269953637,-0.6057338216149786,0.6873065015479877
baseline:company_hist,2018,355,0.13395258785535966,0.23755821834813812,-0.19484531995744359,0.7154929577464789
baseline:company_hist,2019,377,0.16863218611513767,0.3134127872072286,-0.5363235680058815,0.636604774535809
baseline:company_hist,2020,366,0.17620716384703164,0.25936970669432424,-0.23831787326527754,0.6284153005464481
baseline:company_hist,2021,366,0.1910644288826509,0.32760711455255104,-0.4356843087866531,0.7568306010928961
baseline:company_hist,2022,363,0.16398472888627405,0.29211382506130684,-0.29852983919379605,0.6942148760330579
baseline:company_hist,2023,363,0.17051504244900073,0.37303447728888595,-0.14845511228032415,0.6253443526170799
baseline:company_hist,2024,383,0.10914866609281788,0.1864616749710323,-0.613199530076971,0.7180156657963447
baseline:company_hist,2025,203,0.09650395231616538,0.17110150163261842,-0.5759116329172349,0.7586206896551724
baseline:expanding_mean,2014,320,0.10514084016978449,0.15802356515456825,-0.12125313843425456,0.725
baseline:expanding_mean,2015,309,0.14727923719844715,0.2438081148202808,-0.08939769647755091,0.6084142394822006
baseline:expanding_mean,2016,311,0.13067132279521207,0.2850422487767765,-0.02226908271337802,0.752411575562701
baseline:expanding_mean,2017,323,0.12275907584240357,0.18645297835525773,-0.06443502252320021,0.8730650154798761
baseline:expanding_mean,2018,355,0.12864000276860274,0.21781953988809874,-0.004535387465088858,0.7436619718309859
baseline:expanding_mean,2019,377,0.14492475787416753,0.2571606835307702,-0.03432831190933627,0.6312997347480106
baseline:expanding_mean,2020,366,0.16453879221046241,0.23481858084210633,-0.01498250745816554,0.6721311475409836
baseline:expanding_mean,2021,366,0.16864118358600774,0.29886421511706834,-0.194813550238224,0.8852459016393442
baseline:expanding_mean,2022,363,0.13367332235361767,0.2588237104545445,-0.019426287617230198,0.7658402203856749
baseline:expanding_mean,2023,363,0.14411201860832154,0.34841850109206507,-0.0018864332975161435,0.6914600550964187
baseline:expanding_mean,2024,383,0.0897279340180445,0.14981216961319693,-0.04136532301935625,0.7545691906005222
baseline:expanding_mean,2025,203,0.08347299745612391,0.1378561615628613,-0.02300223640731014,0.7832512315270936
baseline:persistence,2014,320,0.10292484216735072,0.2229940006330965,-1.232781980270321,0.709375
baseline:persistence,2015,309,0.11702411772248977,0.2572153324089867,-0.21250585872339256,0.7508090614886731
baseline:persistence,2016,311,0.13972343707141482,0.3256020766497164,-0.33389328800514817,0.7170418006430869
baseline:persistence,2017,323,0.1372241997060762,0.28648398033810946,-1.5129346191505761,0.7213622291021672
baseline:persistence,2018,355,0.12615264802586282,0.22151426517878464,-0.03890291926067535,0.780281690140845
baseline:persistence,2019,377,0.1674153395205405,0.3493702984678332,-0.9090672675514873,0.636604774535809
baseline:persistence,2020,366,0.1862995801720427,0.3569917512180869,-1.3459027375009343,0.6939890710382514
baseline:persistence,2021,366,0.24482085056448086,0.4141711814591024,-1.2946267823258188,0.6612021857923497
baseline:persistence,2022,363,0.19635632911524345,0.3508026516944031,-0.8727225744222225,0.7493112947658402
baseline:persistence,2023,363,0.20016190935342124,0.43750219064409446,-0.57970700344305,0.6639118457300276
baseline:persistence,2024,383,0.1227286469710773,0.3183929031122511,-3.7036574082055136,0.7284595300261096
baseline:persistence,2025,203,0.0741480095836217,0.14467705712842327,-0.12673958327243695,0.7783251231527094
baseline:sector_median,2014,320,0.09066262883987301,0.14615589913998997,0.04083646762907844,0.740625
baseline:sector_median,2015,309,0.11677967320262676,0.22139558344433194,0.1016862529534086,0.6990291262135923
baseline:sector_median,2016,311,0.14819568488594254,0.302174079871074,-0.148844294417243,0.7041800643086816
baseline:sector_median,2017,323,0.1281395376769195,0.19154854716198538,-0.12340985667243931,0.7770897832817337
baseline:sector_median,2018,355,0.12894183238719667,0.2185051674253277,-0.010869264474063334,0.7436619718309859
baseline:sector_median,2019,377,0.13721428867263336,0.2570420271819298,-0.03337403456794652,0.6631299734748011
baseline:sector_median,2020,366,0.17075382903976893,0.24197460787239172,-0.0777877149129036,0.6338797814207651
baseline:sector_median,2021,366,0.20805591863037867,0.3594092909482425,-0.7279489350809629,0.6912568306010929
baseline:sector_median,2022,363,0.17454911196456205,0.2984855909554664,-0.3557963252118497,0.7658402203856749
baseline:sector_median,2023,363,0.15105088991507704,0.35756481105472526,-0.05517774749412929,0.6749311294765841
baseline:sector_median,2024,383,0.08459982491536214,0.1522614185817888,-0.07569380607567844,0.7232375979112271
baseline:sector_median,2025,203,0.0713082658647242,0.13189686905661635,0.06353145983117936,0.7832512315270936
catboost,2014,320,0.07729606466622921,0.14175128173739565,0.09777688520524641,0.75625
catboost,2015,309,0.11396915856768773,0.21010041417270622,0.19100850315034035,0.7281553398058253
catboost,2016,311,0.11477708850553914,0.2703384308299011,0.08047755988345484,0.7234726688102894
catboost,2017,323,0.10583543460321639,0.17229008215464575,0.09113147946644906,0.7987616099071208
catboost,2018,355,0.11925096477442852,0.2166649127367999,0.006086154619221573,0.7633802816901408
catboost,2019,377,0.12420588365622959,0.23201277991237937,0.1580756215054372,0.7161803713527851
catboost,2020,366,0.14913042415620031,0.2306119672461172,0.021057190706850637,0.726775956284153
catboost,2021,366,0.16944915319900303,0.3042650968919747,-0.23838754841188137,0.8579234972677595
catboost,2022,363,0.13364006413941043,0.2601299002245893,-0.029741603378525827,0.7630853994490359
catboost,2023,363,0.1323529509675166,0.33881539621143214,0.05258042485579961,0.7410468319559229
catboost,2024,383,0.06749562903458614,0.13539491000338444,0.1494230678142321,0.7650130548302873
catboost,2025,203,0.07808565535971723,0.14578058996779705,-0.14399368267978896,0.7733990147783252
elasticnet,2014,320,0.07868668094625478,0.1438626191441927,0.07070010975159902,0.734375
elasticnet,2015,309,0.10927286498429144,0.2210341318490208,0.10461704209516198,0.7313915857605178
elasticnet,2016,311,0.12101730572981775,0.27260731010597633,0.0649781710328543,0.6366559485530546
elasticnet,2017,323,0.1264270209854389,0.1809660400915684,-0.0027084430294608275,0.8390092879256966
elasticnet,2018,355,0.11775265623718377,0.21313438805673712,0.038213624440130656,0.752112676056338
elasticnet,2019,377,0.12187367481007863,0.2524162656567768,0.003484761458687924,0.6976127320954907
elasticnet,2020,366,0.16407327648062045,0.2341490851246383,-0.009203086304697461,0.7076502732240437
elasticnet,2021,366,0.21251094802082404,0.47467391431331674,-2.013998528908983,0.8743169398907104
elasticnet,2022,363,0.12891645718164127,0.23373689486310537,0.16861487268873787,0.696969696969697
elasticnet,2023,363,0.13004355296777625,0.34532126597518914,0.015846755773136656,0.743801652892562
elasticnet,2024,383,0.07636088527589707,0.1379850365777229,0.11656843887892931,0.7676240208877284
elasticnet,2025,203,0.0866475550866035,0.150033207328227,-0.21171087660879317,0.7733990147783252
