model,year,n,mae,rmse,r2,dir_acc
baseline:company_hist,2014,61,0.06930982369514156,0.15602389570550365,0.5454681995017868,0.9508196721311475
baseline:company_hist,2015,123,0.08175960858793666,0.1858180198074211,0.43550496363822866,0.9512195121951219
baseline:company_hist,2016,124,0.05567239083421247,0.10205785761455871,0.7628579780427075,0.967741935483871
baseline:company_hist,2017,139,0.07905045239761907,0.13162764042659986,0.6545621568257289,0.9712230215827338
baseline:company_hist,2018,133,0.05053832940976734,0.08870339005100078,0.8188076979022917,1.0
baseline:company_hist,2019,128,0.04646971538192904,0.06077232968680006,0.9056933253132201,1.0
baseline:company_hist,2020,124,0.07497878769317727,0.13336175427020383,0.6463330162461115,0.9596774193548387
baseline:company_hist,2021,122,0.062250692184676173,0.09345037712353789,0.751980468309829,0.9754098360655737
baseline:company_hist,2022,119,0.06609145960347805,0.10199697252200589,0.7796865422746181,0.9327731092436975
baseline:company_hist,2023,123,0.08477737106197593,0.14282262697956313,0.673963967085131,0.9512195121951219
baseline:company_hist,2024,163,0.09826396491533708,0.15861326144308205,0.5853708517241756,0.9447852760736196
baseline:company_hist,2025,87,0.0727847014688749,0.10908594943211015,0.7396092601310231,0.9770114942528736
baseline:expanding_mean,2014,61,0.19358463492296396,0.23179416181357715,-0.003198848032337276,0.9180327868852459
baseline:expanding_mean,2015,123,0.19522835149831327,0.2494568972079987,-0.017361982566887146,0.9349593495934959
baseline:expanding_mean,2016,124,0.17289068096452384,0.20976970585420784,-0.0018464464170309114,0.967741935483871
baseline:expanding_mean,2017,139,0.18668073266104485,0.22496101143511946,-0.00899783175915303,0.9712230215827338
baseline:expanding_mean,2018,133,0.16072381243972955,0.20886590330615126,-0.004602845909496001,1.0
baseline:expanding_mean,2019,128,0.15413042613590394,0.19799682081128742,-0.0010300046744249336,1.0
baseline:expanding_mean,2020,124,0.17078079855025255,0.22443594958210633,-0.0016517725992639676,0.9596774193548387
baseline:expanding_mean,2021,122,0.14945804055255843,0.1879965821363078,-0.003745644516149227,1.0
baseline:expanding_mean,2022,119,0.18005743677182268,0.2183034875837111,-0.009224563263197982,0.957983193277311
baseline:expanding_mean,2023,123,0.1865058961483172,0.25012231660065926,5.422179567826646e-05,0.9512195121951219
baseline:expanding_mean,2024,163,0.18092928908643832,0.24834823724255606,-0.016489747243078945,0.9386503067484663
baseline:expanding_mean,2025,87,0.17254303887951583,0.21581683660434503,-0.019197967127351223,0.9885057471264368
baseline:persistence,2014,61,0.05279133005601281,0.11832928991194275,0.7385632987546462,0.9344262295081968
baseline:persistence,2015,123,0.0696378676767025,0.17345065328142173,0.5081458365083871,0.943089430894309
baseline:persistence,2016,124,0.060664705029689736,0.14519922520419415,0.5199967018196072,0.967741935483871
baseline:persistence,2017,139,0.06635068263439059,0.11713362212906447,0.7264486467976634,1.0
baseline:persistence,2018,133,0.03963421138852043,0.07026089517588309,0.8863193195568468,1.0
baseline:persistence,2019,128,0.03775027340883358,0.05947483043242249,0.9096772636388323,1.0
baseline:persistence,2020,124,0.05883184505652106,0.12391935652160073,0.6946413559840539,0.9596774193548387
baseline:persistence,2021,122,0.057246509274886156,0.11235665645634026,0.6414734020165895,0.9590163934426229
baseline:persistence,2022,119,0.06452883779509583,0.12023859816936393,0.693835894620361,0.957983193277311
baseline:persistence,2023,123,0.06406419299006573,0.10741010110518358,0.8155996177034537,0.975609756097561
baseline:persistence,2024,163,0.065431597556584,0.10831314271785081,0.8066504555154348,0.950920245398773
baseline:persistence,2025,87,0.049121688962948266,0.10989657486173608,0.7357249170178626,0.9425287356321839
baseline:sector_median,2014,61,0.10259249406364908,0.15848480361586167,0.5310167948049245,0.9180327868852459
baseline:sector_median,2015,123,0.11664227056644275,0.19011982874285868,0.4090655608447934,0.9349593495934959
baseline:sector_median,2016,124,0.10330197169926576,0.1565331683594322,0.4421359502254263,0.9193548387096774
baseline:sector_median,2017,139,0.10549136368247355,0.1445614790834533,0.5833408848587978,0.9712230215827338
baseline:sector_median,2018,133,0.09853804782344626,0.13207211489912726,0.5983187390751669,1.0
baseline:sector_median,2019,128,0.09604503207575853,0.12870319138611172,0.5770302649121936,1.0
baseline:sector_median,2020,124,0.11304917643628988,0.17231896384989398,0.40952968589002003,0.9596774193548387
baseline:sector_median,2021,122,0.10211198484786947,0.13610385411953224,0.473904467978684,1.0
baseline:sector_median,2022,119,0.1207170720735445,0.1650985313687666,0.42276469690065543,0.957983193277311
baseline:sector_median,2023,123,0.13161981097255615,0.19384319522533547,0.39941748240495367,0.9512195121951219
baseline:sector_median,2024,163,0.13192702495059494,0.20542392166499235,0.30452284189834744,0.9386503067484663
baseline:sector_median,2025,87,0.11269495509307088,0.15932705180170123,0.44452189679629894,0.9885057471264368
catboost,2014,61,0.05496327121556126,0.10916288776656839,0.7774989472881129,0.9180327868852459
catboost,2015,123,0.07063694008449388,0.15648316455679367,0.5996685471012773,0.9349593495934959
catboost,2016,124,0.04929153995147126,0.08595769338011122,0.8317770945694289,0.9596774193548387
catboost,2017,139,0.06179905140795289,0.09266070853605697,0.8288145083199522,0.9784172661870504
catboost,2018,133,0.05108481879667287,0.07323246241035412,0.876500106900477,1.0
catboost,2019,128,0.05072609503629404,0.07413102157008249,0.8596764280305733,0.9921875
catboost,2020,124,0.07463446524357348,0.12347195509061605,0.6968423239983386,0.9596774193548387
catboost,2021,122,0.0492964110192523,0.06992048432498442,0.8611542399219467,1.0
catboost,2022,119,0.06478057750993596,0.10173990288272215,0.7807956836172626,0.957983193277311
catboost,2023,123,0.06377015225350774,0.1309314457788786,0.7259943656196488,0.9512195121951219
catboost,2024,163,0.05915893910599469,0.11752167379901676,0.7723766684377096,0.9631901840490797
