model,year,n,mae,rmse,r2,dir_acc
baseline:company_hist,2014,213,0.047734945142354254,0.08516409147270795,0.8651339953648773,0.9906103286384976
baseline:company_hist,2015,204,0.049597500914158626,0.07813623862879782,0.8817841410392145,1.0
baseline:company_hist,2016,216,0.07125646668281829,0.13088062931361585,0.6985784569829574,0.9861111111111112
baseline:company_hist,2017,229,0.0748100759500232,0.13503243178282637,0.6339995596340425,0.982532751091703
baseline:company_hist,2018,258,0.08013480814990093,0.1431953362318942,0.6207521846272288,0.9844961240310077
baseline:company_hist,2019,241,0.054761509184407205,0.09950012515775057,0.8212957238829252,0.979253112033195
baseline:company_hist,2020,213,0.05055266536506796,0.08214104270505275,0.8671812346092075,0.9530516431924883
baseline:company_hist,2021,209,0.0508696598933822,0.08093887754088774,0.8658851892676986,0.9904306220095693
baseline:company_hist,2022,208,0.04179672263194903,0.06403608086217051,0.9155069265540704,1.0
baseline:company_hist,2023,216,0.04933271641517223,0.07444943664823604,0.8852236807254218,1.0
baseline:company_hist,2024,218,0.053875197570256904,0.07816844323899301,0.883315822010794,0.9862385321100917
baseline:company_hist,2025,115,0.09642699705229218,0.37352158696933413,-1.6876343282669009,0.9826086956521739
baseline:expanding_mean,2014,213,0.1936306074593175,0.23237367247325655,-0.004068401360260543,0.9906103286384976
baseline:expanding_mean,2015,204,0.1960605271039052,0.22859806781962583,-0.011849335099227032,1.0
baseline:expanding_mean,2016,216,0.2054322050400501,0.23850954692862442,-0.0010022979407597887,0.9953703703703703
baseline:expanding_mean,2017,229,0.19285308926884767,0.2248422573162225,-0.014755242532957125,1.0
baseline:expanding_mean,2018,258,0.19886539601441355,0.2327479957608657,-0.001929676701783123,1.0
baseline:expanding_mean,2019,241,0.19866202871394295,0.23539796601349725,-0.00021439931164501935,0.995850622406639
baseline:expanding_mean,2020,213,0.18779516437134816,0.2259111152785892,-0.004648673431364436,0.971830985915493
baseline:expanding_mean,2021,209,0.1852095404678874,0.22101156145545345,1.756347135895009e-05,0.9952153110047847
baseline:expanding_mean,2022,208,0.18531196135807512,0.2203625972007647,-0.0005697846936696394,1.0
baseline:expanding_mean,2023,216,0.1819540582989678,0.21984206486819924,-0.0008086509732498914,1.0
baseline:expanding_mean,2024,218,0.19033102103097535,0.2291480880587495,-0.002724257349534742,0.9862385321100917
baseline:expanding_mean,2025,115,0.19100258626667763,0.22798499754876236,-0.0012702353315174886,1.0
baseline:persistence,2014,213,0.03145408610802673,0.06955255484957291,0.9100470043054711,0.9906103286384976
baseline:persistence,2015,204,0.03960920216175238,0.07661904067412695,0.886330444929248,1.0
baseline:persistence,2016,216,0.05049033427198596,0.11947384371734378,0.7488291636363098,0.9953703703703703
baseline:persistence,2017,229,0.04873426517716716,0.09920494811631014,0.8024522449054659,0.9956331877729258
baseline:persistence,2018,258,0.07102527252368936,0.14039113368990297,0.6354604083055739,1.0
baseline:persistence,2019,241,0.04746045458456624,0.10736815327197141,0.7919160146117279,0.995850622406639
baseline:persistence,2020,213,0.03190791507670165,0.059396792646678506,0.930551158676077,0.9765258215962441
baseline:persistence,2021,209,0.03192514070058477,0.051467026639405895,0.9457723799927781,0.9760765550239234
baseline:persistence,2022,208,0.025009356300881327,0.038902904464847954,0.9688157234990349,0.9951923076923077
baseline:persistence,2023,216,0.035745952003668695,0.059123891609941616,0.927613848739305,1.0
baseline:persistence,2024,218,0.028374243366500247,0.05065944073732438,0.950991678626762,0.9862385321100917
baseline:persistence,2025,115,0.01762077843110936,0.026280678344131125,0.9866950909843651,0.9826086956521739
baseline:sector_median,2014,213,0.1324598981327397,0.18288703945889562,0.37805022398462096,0.9906103286384976
baseline:sector_median,2015,204,0.11986857549503085,0.1657301605323723,0.4681687627695662,1.0
baseline:sector_median,2016,216,0.1267127157902016,0.17819336755239,0.44126405667851465,0.9953703703703703
baseline:sector_median,2017,229,0.1248201842955354,0.1851853351411136,0.3116352640620418,1.0
baseline:sector_median,2018,258,0.14019257775006505,0.1901834347714987,0.3310237281428289,1.0
baseline:sector_median,2019,241,0.12194173839538314,0.15687732982242622,0.5557698120967489,0.995850622406639
baseline:sector_median,2020,213,0.11790898722713253,0.15552715520183966,0.5238415756486403,0.971830985915493
baseline:sector_median,2021,209,0.10794008384229536,0.1455529050531706,0.5662852999534893,0.9952153110047847
baseline:sector_median,2022,208,0.11125452399518407,0.14483300912669478,0.5677781409183489,1.0
baseline:sector_median,2023,216,0.12331494361121707,0.15679870148288697,0.4908867672295425,1.0
baseline:sector_median,2024,218,0.12955030377037058,0.1700742610083346,0.4476349004152008,0.9862385321100917
baseline:sector_median,2025,115,0.11771605967955157,0.15799985718360215,0.5191029021820077,1.0
catboost,2014,213,0.05916729486794249,0.10353155603172616,0.8006873153277247,0.9906103286384976
catboost,2015,204,0.056990148700329604,0.08562130895117791,0.8580503042940307,1.0
catboost,2016,216,0.058994051689610555,0.09686363359679709,0.8349007681709537,0.9953703703703703
catboost,2017,229,0.055427842569843504,0.08654321190558843,0.8496610721593303,1.0
catboost,2018,258,0.08143041015280382,0.14322243285953556,0.6206086421153718,1.0
catboost,2019,241,0.06642350354795362,0.1088296989592164,0.7862123830764598,0.995850622406639
catboost,2020,213,0.059293644859215004,0.0908030729162169,0.8376919321487188,0.971830985915493
catboost,2021,209,0.06444688599259964,0.08835458617002959,0.840183880763516,0.9952153110047847
catboost,2022,208,0.05760662615049231,0.07954478988112663,0.8696247671286093,1.0
catboost,2023,216,0.045959162804281306,0.06180469763963263,0.9209007375604739,1.0
catboost,2024,218,0.04578351212928699,0.062402787715639126,0.9256369784363137,0.9862385321100917
catboost,2025,115,0.041665336830769825,0.05533741233231468,0.9410102628149773,1.0
elasticnet,2014,213,0.10193399751396189,0.14439135397445066,0.6123213949977966,0.9906103286384976
elasticnet,2015,204,0.10084644780116563,0.14049967118747134,0.6177730052738346,1.0
elasticnet,2016,216,0.102106173342286,0.16052979905416162,0.5465443017487155,0.9953703703703703
elasticnet,2017,229,0.09242195378526334,0.12938665789639417,0.6639650725970031,0.9956331877729258
elasticnet,2018,258,0.12201846754518765,0.2412453714487661,-0.07642387058176481,1.0
elasticnet,2019,241,0.08953729455676844,0.13298017210933488,0.6808010368507438,0.995850622406639
elasticnet,2020,213,0.07782238868016421,0.11427062525504017,0.7429555546396299,0.971830985915493
elasticnet,2021,209,0.08499608598454206,0.1251375368310541,0.6794191390991053,0.9952153110047847
elasticnet,2022,208,0.0938359446353373,0.12463952864299195,0.6799018124789589,0.9951923076923077
elasticnet,2023,216,0.09362380065675707,0.11957571913318857,0.7039156419148713,1.0
elasticnet,2024,218,0.094145728434195,0.12252477208260253,0.7133203589819225,0.9862385321100917
elasticnet,2025,115,0.0960108216895559,0.1386074184135903,0.6299062789938845,1.0
ensemble,2014,213,0.055854681437956084,0.10149704519659451,0.8084437816697643,0.9906103286384976
ensemble,2015,204,0.05269324252126641,0.08001921665293861,0.8760178020723206,1.0
ensemble,2016,216,0.054898488598364006,0.09297018310183197,0.847906409600424,0.9953703703703703
ensemble,2017,229,0.05404812610083044,0.08316188243463464,0.8611793566079807,1.0
ensemble,2018,258,0.07030235165200195,0.12688646093250364,0.7022197368193513,1.0
ensemble,2019,241,0.06030133446475693,0.10456751764500993,0.8026299336140605,0.995850622406639
ensemble,2020,213,0.05797108797942226,0.09009956718912618,0.8401971849604757,0.971830985915493
