,n,median_ae,mean_ae,rmse,mpe_pct,mdpe_pct,r2,dir_acc,n_pe_excluded
ensemble,4525.0,0.04274982405342679,0.09215589157977049,0.18820287668701519,22.36790353451144,25.12138321452688,0.4397100464227479,0.8289502762430939,351.0
xgboost,4525.0,0.042761376994742806,0.0926062531383817,0.1888575258538008,18.466636979624145,23.162149303192546,0.4358054166008938,0.8271823204419889,351.0
lightgbm,4525.0,0.044821241701220024,0.09464738154002228,0.1899569571999267,20.834998808845324,24.836162618653965,0.429217395059765,0.8267403314917127,351.0
hist_gbm,4525.0,0.04639042393090387,0.09630682784218426,0.19099599515221632,27.145939329022855,28.292455974144247,0.4229561157839318,0.8132596685082873,351.0
catboost,4525.0,0.043123636378657876,0.09443174962899142,0.19577149824273346,23.024039020553428,25.955639342500177,0.3937395331282094,0.8207734806629834,351.0
ridge,4525.0,0.05347222365338522,0.10217801502272343,0.1983972058534597,22.95726460664536,28.74925017830128,0.3773680199081417,0.7960220994475138,351.0
elasticnet,4525.0,0.04963738407708711,0.10069445434162666,0.19905980256640946,24.01170154128329,30.966212807574216,0.37320220704108464,0.8086187845303867,351.0
random_forest,4525.0,0.04269097539096133,0.0954208414503835,0.1994310924674918,28.480774020396545,27.799885637473412,0.3708617974984608,0.8165745856353591,351.0
extra_trees,4525.0,0.053025634047785,0.10671946874574152,0.21155204956001564,34.717458647385065,35.52715486052513,0.2920627001666062,0.7759116022099447,351.0
bl: persistence,4525.0,0.03893431841466444,0.10056191360005161,0.2287585015862762,16.276149266769437,12.10834794701383,0.17222023300639322,0.8154696132596685,351.0
bl: sector_median,4525.0,0.06510682784709554,0.12633507135554328,0.23991010500001053,43.212529848537066,55.281713977356105,0.08954727051312195,0.7540331491712707,351.0
bl: trailing_mean4,4525.0,0.05811718434147284,0.12634452773093036,0.2457980651958533,27.368628927703295,32.83033056915512,0.04430956231300143,0.752707182320442,351.0
bl: company_hist,4525.0,0.07503172603756476,0.13788816666052425,0.2463217467308326,40.29560967329303,55.18468402779523,0.04023295920811465,0.7102762430939227,351.0
bl: expanding_mean,4525.0,0.08098398371258726,0.14152706781590602,0.2518110301107642,50.91798157068491,48.233394391069666,-0.0030205244066132675,0.7135911602209944,351.0
bl: trailing_mean8,4525.0,0.06994469950399995,0.14114840331223985,0.25844879904181833,41.44669913514847,47.47222088675866,-0.0565969616069848,0.7164640883977901,351.0
bl: seasonal,4525.0,0.08736038241260147,0.1858410364392784,0.3471185100621631,50.30510060102221,56.55038064881033,-0.9059691488824748,0.6459668508287293,351.0
