,n,median_ae,mean_ae,rmse,mpe_pct,mdpe_pct,r2,dir_acc
random_forest,4039.0,0.05250956052950709,0.11159561357983123,0.22660215880999937,37.25140741201936,40.822656124705084,0.1209928495496494,0.7576132706115375
ensemble,4039.0,0.05617996670436013,0.11604263644875087,0.23194665410532925,31.886676584760355,40.70137470098546,0.07904047044980766,0.7652884377321119
extra_trees,4039.0,0.059016145696137445,0.11716228403145482,0.2324513803165023,42.272462179777634,43.26117408450833,0.07502801194923037,0.741520178261946
catboost,4039.0,0.05557534478778961,0.11731845629613248,0.23352508109591577,33.47788179242838,44.054518010574476,0.06646332350539286,0.7593463728645704
hist_gbm,4039.0,0.05761081620441856,0.11691469750101142,0.23430612582934787,35.75030272685227,44.16704765233483,0.060208293195458173,0.7593463728645704
lightgbm,4039.0,0.05904391647378465,0.11935970249936274,0.2359056487792179,30.21662470015851,41.34418573917432,0.047333261770306057,0.763555335479079
xgboost,4039.0,0.05856285849903431,0.12067850938168041,0.2400223982861813,28.10189711960227,40.78058942789152,0.013793493077494334,0.764050507551374
bl: expanding_mean,4039.0,0.07559187216299512,0.1321710616141792,0.24291932841969002,38.89487130767628,42.815415962463256,-0.010156041265088067,0.7390443179004704
bl: sector_median,4039.0,0.07399884110077104,0.13711153886786023,0.25564107253378165,49.89820286637741,63.09788198891995,-0.11873077143783095,0.713295370141124
elasticnet,4039.0,0.06547710643557347,0.12474224164541567,0.2600147522265712,28.332617675188228,45.37730853046863,-0.15733823088769805,0.7459767269126021
ridge,4039.0,0.0849801303597192,0.14198179956234577,0.2753431269296957,24.16788913702171,43.5799847621538,-0.2978150384248983,0.7083436494181728
bl: company_hist,4039.0,0.07413380219949527,0.14996257096825447,0.2871402314194311,27.93142632312122,57.21245759792762,-0.41140747776889386,0.6840802178757118
bl: persistence,4039.0,0.06833066392920761,0.1556219104485244,0.3247363903731362,29.993231415939384,37.97644404862393,-0.8052038031121183,0.7125526120326814
