model,scope,n,mae,rmse,r2,dir_acc,note
ensemble,ALL,4529,0.09176306595961281,0.18820321408268653,0.43929231615732023,0.8313093398101126,
xgboost,ALL,4529,0.0926473943202668,0.18904384809765976,0.43427218271719503,0.8284389489953632,
hist_gbm,ALL,4529,0.09510017236915154,0.19040597471273932,0.42609028079908495,0.8134245970412894,
lightgbm,ALL,4529,0.09457316243211028,0.19048035457562063,0.42564181100776954,0.8233605652461912,
catboost,ALL,4529,0.09467857818343997,0.195910620717849,0.3924270963852152,0.8213733716052108,
elasticnet,ALL,4529,0.10085651369210266,0.1988120222293838,0.374297743236784,0.8056966217708104,
random_forest,ALL,4529,0.09517280049938928,0.1993609184067064,0.3708379958928275,0.8213733716052108,
extra_trees,ALL,4529,0.1069405388126053,0.21136547685766546,0.2927864983736813,0.7765511150364319,
baseline:persistence,ALL,4529,0.10048752779245655,0.22865528560362652,0.17235341809116878,0.8156325899757121,
baseline:sector_median,ALL,4529,0.12631087998244386,0.23982002865079063,0.08955579311105832,0.7542503863987635,
baseline:trailing_mean4,ALL,4529,0.12627644100121882,0.24569040398457218,0.044438101455704704,0.7531463899315523,
baseline:company_hist,ALL,4529,0.1378221345553885,0.24622178090448585,0.0403002708907334,0.7105321262971959,
baseline:expanding_mean,ALL,4529,0.14148079294222393,0.2517166672405692,-0.0030125840139290094,0.7138441156988298,
baseline:trailing_mean8,ALL,4529,0.14103165484319774,0.2583297786913128,-0.05640726590046685,0.7167145065135792,
baseline:seasonal,ALL,4529,0.18570944400191838,0.3469672710551677,-0.9057216001280919,0.6462795319054979,
ridge,ALL,4529,0.14345021999249272,0.34786551169901403,-0.915601565869149,0.7900198719364098,
OLD suite best (hgb/M4_idio_vol),ALL,4526,0.1886768228447674,0.3529178096505017,0.055499838294163,0.6869200176756518,corrupted+winsorized target; RMSE not directly comparable
