model,scope,n,mae,rmse,r2,dir_acc
random_forest,ALL,4039,0.11159561357983123,0.22660215880999937,0.1209928495496494,0.7576132706115375
ensemble,ALL,4039,0.11604263644875087,0.23194665410532925,0.07904047044980766,0.7652884377321119
extra_trees,ALL,4039,0.11716228403145482,0.2324513803165023,0.07502801194923037,0.741520178261946
catboost,ALL,4039,0.11731845629613248,0.23352508109591577,0.06646332350539286,0.7593463728645704
hist_gbm,ALL,4039,0.11691469750101142,0.23430612582934787,0.060208293195458173,0.7593463728645704
lightgbm,ALL,4039,0.11935970249936274,0.2359056487792179,0.047333261770306057,0.763555335479079
xgboost,ALL,4039,0.12067850938168041,0.2400223982861813,0.013793493077494334,0.764050507551374
baseline:expanding_mean,ALL,4039,0.1321710616141792,0.24291932841969002,-0.010156041265088067,0.7390443179004704
baseline:sector_median,ALL,4039,0.13711153886786023,0.25564107253378165,-0.11873077143783095,0.713295370141124
elasticnet,ALL,4039,0.12474224164541567,0.2600147522265712,-0.15733823088769805,0.7459767269126021
ridge,ALL,4039,0.14198179956234577,0.2753431269296957,-0.2978150384248983,0.7083436494181728
baseline:company_hist,ALL,4039,0.14996257096825447,0.2871402314194311,-0.41140747776889386,0.6840802178757118
baseline:persistence,ALL,4039,0.1556219104485244,0.3247363903731362,-0.8052038031121183,0.7125526120326814
