model,scope,n,mae,rmse,r2,dir_acc
catboost,ALL,1446,0.05826853818252924,0.10428649396253581,0.7819834373796315,0.9688796680497925
ensemble,ALL,1446,0.05704132913784763,0.10595833123629496,0.7749372745866685,0.9702627939142462
lightgbm,ALL,1446,0.06047795773550991,0.10949326370494093,0.7596699060593154,0.9647302904564315
xgboost,ALL,1446,0.05942718117891283,0.10952253334753108,0.7595413992283592,0.9688796680497925
hist_gbm,ALL,1446,0.06006737135388227,0.1100670881431362,0.7571442959213203,0.9674965421853389
elasticnet,ALL,1446,0.06869577693555878,0.11140370694638599,0.7512101614275855,0.9633471645919779
random_forest,ALL,1446,0.06685538287230366,0.11382856878924665,0.7402617532972873,0.966804979253112
baseline:persistence,ALL,1446,0.05768414244395284,0.11681586799731536,0.726449801263834,0.9681881051175657
extra_trees,ALL,1446,0.0823701375780123,0.12445568227347008,0.6894991353352075,0.966804979253112
baseline:company_hist,ALL,1446,0.07080165393618996,0.12640597717111185,0.6796914182575367,0.9654218533886584
ridge,ALL,1446,0.08351165914738058,0.1265974925689355,0.6787200955805328,0.9557399723374828
baseline:sector_median,ALL,1446,0.11190601966964292,0.16476591016903508,0.45578804560855657,0.9626556016597511
baseline:expanding_mean,ALL,1446,0.17468482470076066,0.22356353762014114,-0.0019252008558703348,0.966804979253112
