model,scope,n,mae,rmse,r2,dir_acc
baseline:persistence,ALL,2540,0.039847375201153466,0.0852094138112893,0.8605947762867908,0.9917322834645669
xgboost,ALL,2540,0.05535592563163624,0.09011245467992257,0.8440901575582513,0.9937007874015747
ensemble,ALL,2540,0.05569802881034139,0.09036123064460637,0.8432281199797957,0.9940944881889764
catboost,ALL,2540,0.05884332588263213,0.0939028976441388,0.8306980812262829,0.9944881889763779
lightgbm,ALL,2540,0.058415463415132325,0.09407146929101301,0.830089684241512,0.9940944881889764
hist_gbm,ALL,2540,0.060813488523894635,0.09682803190730103,0.8199860748449799,0.9940944881889764
random_forest,ALL,2540,0.091004986587215,0.12485508808681488,0.7006933382141255,0.9944881889763779
baseline:company_hist,ALL,2540,0.05915889816492088,0.12639033563174198,0.6932873935273962,0.9862204724409449
extra_trees,ALL,2540,0.10245167162950766,0.13438546424980985,0.6532563756373212,0.9944881889763779
elasticnet,ALL,2540,0.09614543770634557,0.14715259210323467,0.5842428510145723,0.9937007874015747
ridge,ALL,2540,0.10455591811767093,0.16104390239558286,0.5020422866292711,0.9929133858267717
baseline:sector_median,ALL,2540,0.12338934418462774,0.16734673602038497,0.46230204497361405,0.9944881889763779
baseline:expanding_mean,ALL,2540,0.19250975994897246,0.2283116229886732,-0.0008291246065488256,0.9944881889763779
