ticker,rows,labeled_rows,first_target_quarter,last_target_quarter
AAPL,61,57,2011Q1,2026Q1
ABBV,61,53,2011Q1,2026Q1
ABT,61,61,2011Q1,2026Q1
ADBE,61,59,2011Q1,2026Q1
AMGN,61,61,2011Q1,2026Q1
AMT,61,60,2011Q1,2026Q1
AMZN,61,61,2011Q1,2026Q1
APD,61,61,2011Q1,2026Q1
AVB,61,56,2011Q1,2026Q1
BA,61,61,2011Q1,2026Q1
BAC,61,61,2011Q1,2026Q1
BKNG,61,61,2011Q1,2026Q1
BKR,46,37,2014Q4,2026Q1
BMY,61,61,2011Q1,2026Q1
BRK.B,61,61,2011Q1,2026Q1
C,60,60,2011Q1,2025Q4
CAT,61,61,2011Q1,2026Q1
CCI,61,60,2011Q1,2026Q1
CHTR,61,58,2011Q1,2026Q1
CL,61,61,2011Q1,2026Q1
CMCSA,61,61,2011Q1,2026Q1
COP,61,57,2011Q1,2026Q1
COST,61,61,2011Q1,2026Q1
CRM,61,59,2011Q1,2026Q1
CSCO,61,59,2011Q1,2026Q1
CVX,61,61,2011Q1,2026Q1
DD,46,35,2014Q4,2026Q1
DE,61,57,2011Q1,2026Q1
DIS,38,25,2016Q4,2026Q1
DLR,61,59,2011Q1,2026Q1
DOW,38,29,2016Q4,2026Q1
EA,61,61,2011Q1,2026Q1
ECL,61,61,2011Q1,2026Q1
EOG,61,61,2011Q1,2026Q1
EQIX,61,61,2011Q1,2026Q1
EQR,61,37,2011Q1,2026Q1
ETN,61,49,2011Q1,2026Q1
F,61,61,2011Q1,2026Q1
FCX,61,51,2011Q1,2026Q1
GE,61,57,2011Q1,2026Q1
GIS,61,31,2011Q1,2026Q1
GM,61,61,2011Q1,2026Q1
GOOGL,54,42,2012Q4,2026Q1
GS,61,50,2011Q1,2026Q1
HAL,61,61,2011Q1,2026Q1
HD,61,61,2011Q1,2026Q1
HON,61,61,2011Q1,2026Q1
INTC,61,51,2011Q1,2026Q1
JNJ,61,33,2011Q1,2026Q1
JPM,61,61,2011Q1,2026Q1
KMB,61,61,2011Q1,2026Q1
KO,61,26,2011Q1,2026Q1
LIN,42,33,2015Q4,2026Q1
LLY,61,61,2011Q1,2026Q1
LMT,61,61,2011Q1,2026Q1
LOW,61,61,2011Q1,2026Q1
MA,61,59,2011Q1,2026Q1
MCD,61,61,2011Q1,2026Q1
MDLZ,61,61,2011Q1,2026Q1
META,61,55,2011Q1,2026Q1
MO,61,61,2011Q1,2026Q1
MRK,61,32,2011Q1,2026Q1
MS,61,61,2011Q1,2026Q1
MSFT,61,61,2011Q1,2026Q1
NEM,61,33,2011Q1,2026Q1
NFLX,61,61,2011Q1,2026Q1
NKE,61,61,2011Q1,2026Q1
NUE,61,47,2011Q1,2026Q1
NVDA,61,61,2011Q1,2026Q1
O,61,38,2011Q1,2026Q1
ORCL,61,59,2011Q1,2026Q1
OXY,61,61,2011Q1,2026Q1
PEP,61,61,2011Q1,2026Q1
PFE,61,35,2011Q1,2026Q1
PG,61,61,2011Q1,2026Q1
PLD,61,33,2011Q1,2026Q1
PSA,61,61,2011Q1,2026Q1
RTX,61,61,2011Q1,2026Q1
SBUX,61,54,2011Q1,2026Q1
SCCO,61,47,2011Q1,2026Q1
SHW,61,61,2011Q1,2026Q1
SLB,61,61,2011Q1,2026Q1
SPG,61,61,2011Q1,2026Q1
T,61,61,2011Q1,2026Q1
TMO,61,52,2011Q1,2026Q1
TMUS,61,58,2011Q1,2026Q1
TSLA,61,57,2011Q1,2026Q1
TTWO,61,59,2011Q1,2026Q1
UNH,61,61,2011Q1,2026Q1
UNP,61,61,2011Q1,2026Q1
UPS,61,61,2011Q1,2026Q1
USB,61,61,2011Q1,2026Q1
V,61,61,2011Q1,2026Q1
VLO,61,33,2011Q1,2026Q1
VZ,61,61,2011Q1,2026Q1
WBD,61,61,2011Q1,2026Q1
WFC,61,61,2011Q1,2026Q1
WMB,61,60,2011Q1,2026Q1
WMT,61,59,2011Q1,2026Q1
XOM,61,33,2011Q1,2026Q1
