,n,median_ae,mean_ae,rmse,r2,dir_acc
ensemble,12079.0,0.05577585451921151,0.1316215658086753,0.2646506940821504,0.3903313040364018,0.8041228578524713
lightgbm,12079.0,0.056588279057200735,0.13245132059373602,0.265842311529401,0.3848287497318865,0.8032949747495653
xgboost,12079.0,0.05665932582567068,0.1330961456507477,0.2666137487421162,0.38125328761683186,0.8024670916466595
hist_gbm,12079.0,0.05895976363883959,0.1350995600953312,0.2695868431225238,0.3673766640676225,0.7956784502028313
catboost,12079.0,0.05847556356708872,0.13495278652214765,0.2703045159728026,0.3640039407478646,0.7989071943041642
elasticnet,12079.0,0.06353825145266337,0.13856925565980588,0.2749307630255031,0.3420475681644256,0.7875651957943538
random_forest,12079.0,0.05832023208174213,0.13652214085464326,0.27503149493111373,0.341565345345036,0.7917046113088831
ridge,12079.0,0.06998949978732269,0.14255349605380363,0.27663808925235994,0.33385039581375997,0.7764715622154151
extra_trees,12079.0,0.0738191682300642,0.15151195361204234,0.2893394493916294,0.27127591597246326,0.7380577862405828
bl: persistence,12079.0,0.05407363693723788,0.14426522588179397,0.31471445516865343,0.13785323366614377,0.798576041063002
bl: sector_median,12079.0,0.08654885338698515,0.17653248294501345,0.32920992369857494,0.05660480944148616,0.7074261114330657
bl: expanding_mean,12079.0,0.10784096768290823,0.19312272959414156,0.33925378696009945,-0.0018373760848051646,0.6753042470403179
bl: company_hist,12079.0,0.10518951654217415,0.19851297835080114,0.3452288746875729,-0.03743774999702998,0.6627204238761487
bl: trailing_mean4,12079.0,0.07865243570929353,0.1806396797026713,0.3467281275006173,-0.04646804218028011,0.7324281811408229
bl: trailing_mean8,12079.0,0.09506512487972382,0.19839502765959027,0.35586809523177904,-0.10236630287035098,0.685321632585479
bl: seasonal,12079.0,0.11800446522582753,0.25584083799001245,0.466785626480669,-0.89663067698074,0.6190909843530094
