ticker,sector,role,name,source
QNST,Communication Services,selected,"QuinStreet, Inc.",smallcap600
YELP,Communication Services,selected,"Yelp, Inc.",smallcap600
VSNT,Communication Services,dropped_lowcov,"Versant Media Group, Inc.",smallcap600
TRIP,Communication Services,selected,TripAdvisor,smallcap600
CARG,Communication Services,selected,CarGurus,smallcap600
WLY,Communication Services,selected,John Wiley & Sons,smallcap600
SHEN,Communication Services,selected,Shenandoah Telecommunications Co,smallcap600
CNK,Communication Services,selected,"Cinemark Holdings, Inc.",smallcap600
DV,Communication Services,selected,"DoubleVerify Holdings, Inc.",smallcap600
PPLI,Communication Services,selected,People Inc.,smallcap600
IRDM,Communication Services,selected,Iridium Communications,smallcap600
MSGS,Communication Services,backup,Madison Square Garden Sports Corp.,smallcap600
GTM,Communication Services,backup,ZoomInfo,smallcap600
ZD,Communication Services,backup,Ziff Davis,smallcap600
LUMN,Communication Services,backup,Lumen Technologies,smallcap600
PRDO,Consumer Discretionary,selected,Perdoceo Education Corp.,smallcap600
FUN,Consumer Discretionary,dropped_lowcov,Six Flags,smallcap600
CZR,Consumer Discretionary,selected,Caesars Entertainment,smallcap600
ADT,Consumer Discretionary,selected,ADT Inc.,smallcap600
RRR,Consumer Discretionary,selected,"Red Rock Resorts, Inc.",smallcap600
PRSU,Consumer Discretionary,selected,"Pursuit Attractions & Hospitality, Inc.",smallcap600
SONO,Consumer Discretionary,selected,"Sonos, Inc.",smallcap600
EAT,Consumer Discretionary,selected,"Brinker International, Inc.",smallcap600
GPI,Consumer Discretionary,selected,"Group 1 Automotive, Inc.",smallcap600
FOXF,Consumer Discretionary,selected,Fox Factory,smallcap600
MCRI,Consumer Discretionary,selected,"Monarch Casino & Resort, Inc.",smallcap600
SHOO,Consumer Discretionary,backup,"Steven Madden, Ltd.",smallcap600
ETSY,Consumer Discretionary,backup,Etsy,smallcap600
SCHL,Consumer Discretionary,backup,Scholastic Corporation,smallcap600
THRM,Consumer Discretionary,backup,Gentherm Incorporated,smallcap600
